id,Sky Blue,Slate,Purple,Indigo,Amber,Crimson,Pink,Black,Bright Green,Orange,entropy
01JVTTB7B9EZ3NFX2YEKQXSF3J,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01JVTTCV3XRYR5EQMHJG8G23K3,0.0,0.0,10.0,0.0,0.0,25.0,50.0,0.0,0.0,15.0,1.7427376486136672
01JVTTDEA2RSRK54X7BM3VR865,0.0,0.0,60.0,0.0,3.0,2.0,10.0,0.0,0.0,25.0,1.5390161004555616
01JVTTED65HWK5HHNYF0PWAQYD,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01JVTTHDY4RA8DHMKBWNQJFSQ5,0.0,0.0,5.0,0.0,0.0,20.0,70.0,0.0,0.0,5.0,1.2567796494470393
01JVTTBK0ZW8NB94CW4DEZCCDS,0.0,0.0,70.0,0.0,10.0,0.0,10.0,0.0,0.0,20.0,1.4911148500551858
01JVTTC4VB5TX4YM0ASWKY7SGE,0.0,0.0,60.0,0.0,10.0,0.0,0.0,0.0,0.0,30.0,1.295461844238322
01JVTTEGCTM5BFRV5HASK5CEJ1,0.0,0.0,40.0,0.0,0.0,19.0,20.0,0.0,0.0,21.0,1.9212064465044862
01JVTTEP24XGZJYAKQQ75G087M,0.0,0.0,75.0,0.0,0.0,0.0,10.0,0.0,0.0,15.0,1.0540157730728
01JVTTHB04R9MRRX9FY7WMA6YT,1.0,1.0,40.0,1.0,10.0,8.0,15.0,2.0,1.0,21.0,2.4144718942062258
average,0.1,0.1,56.0,0.1,3.3,7.4,18.5,0.2,0.1,15.2,1.2714804206593286
