id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,cumulativeResults,cumulativeResultsLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,roundIndex,roundIndexLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01JVTT9VX7BEDB221ASEV7ATV3,10,2025-05-22T01:43:41.353158304Z,01JVTT9VVVYK0N3HXDVCRAWBVR,2025-05-22T01:39:09.351660835Z,"{""Crimson"":{""success"":19,""failures"":1},""Bright Green"":{""success"":3,""failures"":1},""Amber"":{""success"":22,""failures"":4},""Purple"":{""success"":269,""failures"":30},""Sky Blue"":{""success"":3,""failures"":1},""Pink"":{""success"":54,""failures"":2},""Indigo"":{""success"":3,""failures"":1},""Slate"":{""success"":2,""failures"":1},""Orange"":{""success"":99,""failures"":9},""Black"":{""success"":4,""failures"":1}}",2025-05-22T01:55:25.684230073Z,true,2025-05-22T01:57:14.153818781Z,end of game,2025-05-22T01:57:14.167850094Z,01JVTT9VY23P8E4MC790FVKTQX,2025-05-22T01:39:09.382679365Z,01JVTTBDADPFWNFWXCPCCNJWP0,2025-05-22T01:39:59.956525996Z,52,2025-05-22T01:43:41.484834484Z,null,2025-05-22T01:57:14.153818781Z,true,2025-05-22T01:43:41.353158304Z,true,2025-05-22T01:43:41.353158304Z,ended,2025-05-22T01:57:14.167850094Z,"{""chatEnabled"":true,""numRounds"":50,""playerCount"":10,""type"":""communication""}",2025-05-22T01:39:09.351660835Z,Standard-communication,2025-05-22T01:39:09.351660835Z
01JVTTJKVD69D6KMQME2R9JE04,,,01JVTTJKTZ0JE8D077EQYYCGMB,2025-05-22T01:43:56.013308027Z,,,false,2025-05-22T01:43:56.013308027Z,batch ended,2025-05-22T01:44:15.026352134Z,01JVTTJKVY08E98THYG0VBFB58,2025-05-22T01:43:56.032357435Z,01JVTTJXSHWGN5RQMSK6V5BSE3,2025-05-22T01:44:06.199091371Z,,,,,false,2025-05-22T01:43:56.013308027Z,,,terminated,2025-05-22T01:44:15.026352134Z,"{""chatEnabled"":true,""numRounds"":50,""playerCount"":10,""type"":""communication""}",2025-05-22T01:43:56.013308027Z,Standard-communication,2025-05-22T01:43:56.013308027Z
