Round,Overall Entropy
1,3.3219280948873626
2,3.246439344671016
3,2.947091011626145
4,2.6077174691301486
5,2.323187249518387
6,2.1049355947431314
7,2.022184706011226
8,1.9253763286902001
9,1.8444028112053699
10,1.7911795212346566
11,1.7435514782820098
12,1.70100503790187
13,1.6629217807707581
14,1.659075048680697
15,1.6537927876245102
16,1.6234904383112343
17,1.6068071785559948
18,1.5846256322935248
19,1.5826768174766999
20,1.5952574334529597
21,1.6093498031830307
22,1.6138840159150343
23,1.62759295700758
24,1.630400187918341
25,1.6205318300932676
26,1.601182289101039
27,1.6022722537209382
28,1.607256109218328
29,1.610932604950927
30,1.624015208853179
31,1.6390796633679943
32,1.6503207162801057
33,1.6587412942344781
34,1.6650058209339447
35,1.6654582312731394
36,1.678232995572575
37,1.6921527620462973
38,1.7071480140265205
39,1.7200164402052989
40,1.731250030944173
41,1.7411639694340886
42,1.749981402913634
43,1.757870032677342
44,1.761588713240526
45,1.7680692884605862
46,1.7739399991718798
47,1.7792730679559632
48,1.7880352207661978
49,1.7957713282597105
50,1.796557864269175
51,1.8000625546163413
