Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
32,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 29}","{""Indigo"": 2}","{""Indigo"": 0.9354838709677419}"
33,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 30}","{""Indigo"": 2}","{""Indigo"": 0.9375}"
34,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 31}","{""Indigo"": 2}","{""Indigo"": 0.9393939393939394}"
35,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 32}","{""Indigo"": 2}","{""Indigo"": 0.9411764705882353}"
36,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 33}","{""Indigo"": 2}","{""Indigo"": 0.9428571428571428}"
37,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 34}","{""Indigo"": 2}","{""Indigo"": 0.9444444444444444}"
38,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 35}","{""Indigo"": 2}","{""Indigo"": 0.9459459459459459}"
39,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 36}","{""Indigo"": 2}","{""Indigo"": 0.9473684210526315}"
40,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 37}","{""Indigo"": 2}","{""Indigo"": 0.9487179487179487}"
41,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 38}","{""Indigo"": 2}","{""Indigo"": 0.95}"
42,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 39}","{""Indigo"": 2}","{""Indigo"": 0.9512195121951219}"
43,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 40}","{""Indigo"": 2}","{""Indigo"": 0.9523809523809523}"
44,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 41}","{""Indigo"": 2}","{""Indigo"": 0.9534883720930233}"
45,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 42}","{""Indigo"": 2}","{""Indigo"": 0.9545454545454546}"
46,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 43}","{""Indigo"": 2}","{""Indigo"": 0.9555555555555556}"
47,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 44}","{""Indigo"": 2}","{""Indigo"": 0.9565217391304348}"
48,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 45}","{""Indigo"": 2}","{""Indigo"": 0.9574468085106383}"
49,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 46}","{""Indigo"": 2}","{""Indigo"": 0.9583333333333334}"
50,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 47}","{""Indigo"": 2}","{""Indigo"": 0.9591836734693877}"
51,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 48}","{""Indigo"": 2}","{""Indigo"": 0.96}"
52,N/A,N/A,N/A+N/A,,,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 49}","{""Indigo"": 2}","{""Indigo"": 0.9607843137254902}"
