id,Sky Blue,Slate,Purple,Indigo,Amber,Crimson,Pink,Black,Bright Green,Orange,entropy
01JWBYJ34P6GXTWXFR2D1PMD12,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01JWBYKCMZ7CTBB028D6ZWR40P,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
01JWBYFE620JFGXNYV478VBSRX,3.0,1.0,6.0,55.0,3.0,1.0,6.0,1.0,23.0,1.0,2.0183958473132413
01JWBYFMWCDR0KH95ZSTBYG6H4,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,4.0,0.0,0.24229218908241482
01JWBYGA9KCMA4F9SEPFZXK4Z5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01JWBYGVGP7BVNBNV16F89DM5Z,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,60.0,2.1709505944546685
01JWBYJH89QWDPM329M9D46S7Z,15.0,5.0,3.0,11.0,6.0,6.0,15.0,3.0,15.0,21.0,3.061441630043072
01JWBYFSJ01MDZ3R21Q700YHVF,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01JWBYJG4K0Q8K39KAHPCG6ZGT,15.0,15.0,5.0,7.0,8.0,10.0,7.0,15.0,8.0,10.0,3.2322437089409863
average,15.333333333333334,2.888888888888889,13.222222222222221,19.77777777777778,24.22222222222222,2.4444444444444446,3.111111111111111,2.6666666666666665,6.111111111111111,10.222222222222221,1.1917026633149315
