participantId,familiarity_raw,evaluation_raw,university,familiarity_num,participant_mean_rating,evaluation_centered,heard_binary
CA98B80CF2DD496FA96DF87A76EE59D0,I am very familiar with it,95,Durham University,1.0,87.55,7.450000000000003,Heard
4F9F4E86E246433F89623B433B1AB8B8,"I have heard of it, but I am not familiar with it",80,Durham University,0.33,79.05,0.9500000000000028,Heard
204B41ECB5F84D2C8812CCA7C0ABD0ED,"I have heard of it, but I am not familiar with it",56,Durham University,0.33,51.7,4.299999999999997,Heard
1B7CB68BEA6643B4B5C93CAAC59B1B85,I have never heard of this university,5,Durham University,0.0,11.2,-6.199999999999999,Never heard
DD2206E20B5F43EBB14E45E033A403E9,"I have heard of it, but I am not familiar with it",30,Durham University,0.33,29.35,0.6499999999999986,Heard
4262AFB86C594D08B28F0F91D674E4EB,I am somewhat familiar with it,67,Durham University,0.6,42.55,24.450000000000003,Heard
A55A273E95E740CF987A0746A8D05865,I have never heard of this university,56,Durham University,0.0,59.9,-3.8999999999999986,Never heard
BA46C89FF6D74BBD8CBE20E7D403DFC1,I have never heard of this university,0,Heidelberg University,0.0,10.3,-10.3,Never heard
DDF654B04475461CAA83D9BFD3636F52,I have never heard of this university,61,Heidelberg University,0.0,43.85,17.15,Never heard
8C7EAE2BB6894644BB2220D74032427A,"I have heard of it, but I am not familiar with it",73,Heidelberg University,0.33,71.15,1.8499999999999943,Heard
0DD374C49EDD48B0A934A11EB3F114A0,I have never heard of this university,50,Heidelberg University,0.0,68.4,-18.400000000000006,Never heard
A53D15311E1A4E7BB8D9FDD5135514FC,I have never heard of this university,44,Heidelberg University,0.0,35.8,8.200000000000003,Never heard
08FA9BA3F2E34DE29AD38FC493DDA89A,I have never heard of this university,51,Heidelberg University,0.0,50.05,0.9500000000000028,Never heard
68DC5E6A091E45CD956DF8AB911197F6,I have never heard of this university,60,Heidelberg University,0.0,53.45,6.549999999999997,Never heard
06F824C0E70043649B07F6BAA528B658,I have never heard of this university,20,Heidelberg University,0.0,21.25,-1.25,Never heard
44FFB8F0481344DBACD4C9619DEF7E26,I have never heard of this university,50,Heidelberg University,0.0,59.7,-9.700000000000003,Never heard
32CF00ADB1FB42ABA6ECDFD8C63BF3F7,I have never heard of this university,20,Heidelberg University,0.0,42.25,-22.25,Never heard
BD4E57AB370D4528A3DF938AE8F27B01,I have never heard of this university,90,Heidelberg University,0.0,90.95,-0.9500000000000028,Never heard
6AC71943F1C544D1B30EB1036D21CA0D,I have never heard of this university,78,Heidelberg University,0.0,59.85,18.15,Never heard
8E6F027C1F914BEEB26C9D5E528BE427,I have never heard of this university,45,Heidelberg University,0.0,41.85,3.1499999999999986,Never heard
012B4E05E38645C787ADD8FC4C076D2F,I have never heard of this university,22,Heidelberg University,0.0,43.0,-21.0,Never heard
F861EB444C1E4E5E8DFBDC8BE8DA8220,"I have heard of it, but I am not familiar with it",31,Heidelberg University,0.33,28.1,2.8999999999999986,Heard
8E3466454A314C85BB25FB2C97A4B0D7,I have never heard of this university,43,Heidelberg University,0.0,60.0,-17.0,Never heard
3D7D72CEA1F6413D961CE185176CE502,"I have heard of it, but I am not familiar with it",60,Heidelberg University,0.33,65.05,-5.049999999999997,Heard
ED3568FECEB9427CAEEF86F3460C6B8A,I have never heard of this university,77,Heidelberg University,0.0,79.0,-2.0,Never heard
0A79EE9ED56E4610A3DDC4838DD31548,I have never heard of this university,80,Heidelberg University,0.0,79.0,1.0,Never heard
2649AA17B0054500A9C624077A71F95E,I am somewhat familiar with it,100,Heidelberg University,0.6,63.4,36.6,Heard
086CA0EE50924484BA40BE283B35A167,I have never heard of this university,20,Heidelberg University,0.0,44.55,-24.549999999999997,Never heard
09A54B497E63405482AE17D913E2D5C2,I have never heard of this university,6,Heidelberg University,0.0,15.45,-9.45,Never heard
4068D798CA4F443EBDA0836A346C7FAA,"I have heard of it, but I am not familiar with it",51,Heidelberg University,0.33,44.0,7.0,Heard
EE5F963F39674CACA41B0DDC1595BFC0,I am somewhat familiar with it,10,Heidelberg University,0.6,13.55,-3.5500000000000007,Heard
9C9BF153F23143F28476E316F8F2010D,"I have heard of it, but I am not familiar with it",11,Heidelberg University,0.33,19.25,-8.25,Heard
8BCB509032C148C7B1809382C5D2D30B,"I have heard of it, but I am not familiar with it",38,Heidelberg University,0.33,70.1,-32.099999999999994,Heard
C9A88F513C0D43FEAAB91ABE7D2A2DFB,I have never heard of this university,80,Heidelberg University,0.0,82.25,-2.25,Never heard
43B38C5A971146D5A03772B7DE77B79F,I have never heard of this university,83,Heidelberg University,0.0,69.65,13.349999999999994,Never heard
BE40A747DDDC4C159920E7D896B0C43B,I have never heard of this university,0,Heidelberg University,0.0,23.3,-23.3,Never heard
E64CD767B60A44B3AD2ADED7AE7B102E,I have never heard of this university,17,Heidelberg University,0.0,17.0,0.0,Never heard
CA5C57C8B03848C0932DBDEA6A6098F9,I have never heard of this university,41,Heidelberg University,0.0,49.7,-8.700000000000003,Never heard
D8F75C14EAF24D879F6D31BBCCB9D69B,I have never heard of this university,55,Heidelberg University,0.0,61.25,-6.25,Never heard
C5F739838F84491FBB3DF6EB57A21B8C,I have never heard of this university,70,Heidelberg University,0.0,69.1,0.9000000000000057,Never heard
752C3F34BECF4DD5B82BF6A06BDC15A6,I have never heard of this university,79,Heidelberg University,0.0,71.05,7.950000000000003,Never heard
DA69570119B24065909EFD08179AB45A,I have never heard of this university,30,Heidelberg University,0.0,42.6,-12.600000000000001,Never heard
66D0B254AB944CC38DD3DC8F212C6D66,I have never heard of this university,70,Heidelberg University,0.0,72.7,-2.700000000000003,Never heard
38C7B4CC15C54D5F98F166C1BD1995F2,I have never heard of this university,50,Heidelberg University,0.0,49.95,0.04999999999999716,Never heard
3BB9F558B79A4B22A71CF00356573354,"I have heard of it, but I am not familiar with it",85,Heidelberg University,0.33,70.0,15.0,Heard
A564C1C5538C48D0874D3CC48612419D,I have never heard of this university,16,Heidelberg University,0.0,39.6,-23.6,Never heard
BE48927354EC40329D644A03693519C9,I have never heard of this university,65,Heidelberg University,0.0,65.5,-0.5,Never heard
23B7335472A1407BA6C9CDF60958C918,I have never heard of this university,57,Heidelberg University,0.0,49.1,7.899999999999999,Never heard
