university,mean_centered,sd_centered,n_ratings,se_centered,ci95
Durham University,5.007,10.839798222762457,50,1.5329789660018438,3.004638773363614
Heidelberg University,-2.8130000000000006,12.845323178146215,50,1.8166030251599845,3.5605419293135694
KTH Royal Institute of Technology,4.247,11.506796616232815,50,1.6273067834145285,3.189521295492476
Karlsruhe Institute of Technology,-1.6330000000000005,16.010728577795476,50,2.2642589498192858,4.4379475416458
Lund University,-4.573,10.353690114137656,50,1.464232898002171,2.8698964800842552
Osaka University,4.986999999999999,13.644580332460928,50,1.9296350559055437,3.7820847095748658
Politecnico di Milano,-7.593000000000001,15.425317150181176,50,2.181469271769252,4.275679772667734
Sorbonne University,-4.093,13.252439167094902,50,1.8741779204630014,3.6733887241074825
The University of Western Australia,0.0269999999999996,12.507733158950515,50,1.7688605867931493,3.4669667501145724
Tokyo Institute of Technology,8.466999999999999,15.202012521172241,50,2.149889228280739,4.2137828874302485
Trinity College Dublin,-0.7530000000000004,13.653370705897245,50,1.9308782024387403,3.7845212767799308
Universidad de Buenos Aires,-6.093000000000001,15.570661874965037,50,2.202024119870124,4.315967274945443
University of Adelaide,-2.2930000000000006,9.183359007087832,50,1.298723085596473,2.545497247769087
University of Alberta,7.3069999999999995,14.870289547432822,50,2.102976515439437,4.121833970261296
University of Glasgow,3.827,13.539485754259504,50,1.9147724381231104,3.752953978721296
University of Leeds,2.7669999999999995,11.704828979039869,50,1.6553127887415808,3.2444130659334984
University of Nottingham,0.7069999999999996,11.794213428972839,50,1.6679536588776274,3.2691891714001495
University of Sheffield,-0.5930000000000003,8.294182925892294,50,1.1729745982600241,2.2990302125896473
University of Southampton,0.6469999999999998,16.904191033285084,50,2.3906136220217427,4.685602699162615
Uppsala University,-7.553000000000001,13.460427298612199,50,1.9035918841034414,3.731040092842745
