university,count,percent_of_familiar
University of Glasgow,83,66.94
University of Leeds,64,51.61
Trinity College Dublin,63,50.81
Heidelberg University,42,33.87
University of Nottingham,39,31.45
University of Adelaide,32,25.81
University of Southampton,32,25.81
University of Sheffield,25,20.16
The University of Western Australia,22,17.74
Karlsruhe Institute of Technology,18,14.52
