university,count,percent_of_familiar
University of Leeds,64,57.66
University of Glasgow,62,55.86
Trinity College Dublin,61,54.95
University of Nottingham,52,46.85
University of Southampton,41,36.94
University of Sheffield,28,25.23
Heidelberg University,28,25.23
University of Adelaide,24,21.62
The University of Western Australia,18,16.22
Karlsruhe Institute of Technology,6,5.41
