Round,Overall Entropy
1,2.8073549220576037
2,2.873140679513133
3,3.08232813685843
4,3.111080496244278
5,3.146039033895928
6,3.1089548220906433
7,3.113490804442753
8,3.130990212745376
9,3.1407549045212177
10,3.1225757927719786
11,3.1338396494497274
12,3.119222008811801
13,3.11313203511931
14,3.1082843441519663
15,3.079379832933827
16,3.0698547139755687
17,3.0551338377626744
18,3.0209164478545247
19,2.9886284844873594
20,2.9791501655092634
21,2.955428120643327
22,2.940981857205911
23,2.9045329431306954
24,2.8811458931464906
25,2.8438682306207457
26,2.811817808846917
27,2.7870885724118435
28,2.7629916300589494
29,2.7412034194684223
30,2.7134850523194975
31,2.699695357754652
32,2.680326066283005
33,2.670750478043243
34,2.658885612052835
35,2.654285683011606
36,2.6488500288144596
37,2.6512657875846792
38,2.6541974858237873
39,2.6470920040668635
40,2.642240391698911
41,2.632458569485446
42,2.6259849981079535
43,2.61355248172905
44,2.60798343194157
45,2.6024256641189405
46,2.589978156143311
47,2.5878591343842747
48,2.5835267898850036
49,2.569980796228268
50,2.55679040616881
51,2.545810633593335
