roundID,01KCQ4NTG3053KQV8QN5K10PNY,01KCQ4P948E9T06J87G9ZHY070,01KCQ4V815KKYTHANAV8RBCG6W,01KCQ4V1S87PZK0B8X8Z6A0HD7,01KCQ4W4B7NB48NTQQKV36MSSZ,01KCQ51RMS1Y4DPX2N39JHSEZE,01KCQ4WQ5DF51EKSTNJ24WTHJF,01KCQ4TC0T00YG0WHFAPSMQ1EV,01KCQ4SK2EJAGZHFFX156NSYT1,01KCQ4QGATEDXKA69P6KXZE63B
01KCQ531MGFAHDKCZXFSGA64SN,University of Leeds,,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,University of Adelaide,University of Glasgow,University of Adelaide
01KCQ531MQNXS3N67BCDG102PX,University of Leeds,University of Nottingham,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Glasgow,University of Adelaide,University of Glasgow,University of Adelaide
01KCQ531MQNXS3N67BD0Y9YQKY,University of Leeds,University of Nottingham,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Nottingham,University of Adelaide,University of Glasgow,University of Southampton
01KCQ531MT57W9NNZE228J2779,University of Leeds,University of Nottingham,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds,University of Glasgow,University of Southampton
01KCQ531MMC7RWVV86VMKTW0D8,University of Leeds,,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,University of Adelaide,University of Glasgow,University of Sheffield
01KCQ531MNDT38RW12WPF3TAMN,University of Leeds,University of Nottingham,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds,University of Glasgow,University of Sheffield
01KCQ531MMC7RWVV86WAFT8QBB,University of Leeds,University of Nottingham,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,University of Adelaide,University of Glasgow,University of Nottingham
01KCQ531MNDT38RW12X9N4CCTR,University of Leeds,University of Nottingham,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds,University of Glasgow,
01KCQ531KRP7N5M39HY74JX358,University of Leeds,University of Nottingham,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Glasgow,University of Leeds,University of Glasgow,University of Nottingham
01KCQ531MKY80Y4YBMPV7EXC8V,University of Leeds,,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds,University of Glasgow,Karlsruhe Institute of Technology
01KCQ531KCWNK2J10BNJ49TG5Z,University of Leeds,University of Nottingham,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds,University of Glasgow,Trinity College Dublin
01KCQ531MKY80Y4YBMP0JSCP1T,University of Leeds,University of Nottingham,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Glasgow,The University of Western Australia
01KCQ531KBRYC7NRR63NQRQR00,University of Leeds,University of Nottingham,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,The University of Western Australia,University of Glasgow,University of Leeds
01KCQ531MP7VNG0WH37JRSA2XJ,University of Leeds,University of Nottingham,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds,University of Glasgow,University of Leeds
01KCQ531KEVVNTJJS8XJZSVBZ1,University of Leeds,University of Nottingham,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds,University of Glasgow,University of Leeds
01KCQ531KD4KH6BJVHTG680APV,University of Leeds,University of Nottingham,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,University of Leeds,University of Leeds,University of Glasgow,University of Leeds
01KCQ531KWEVB4Z997PCAAM4J8,,,,,,,,,,
