id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,status,statusLastChangedAt,timerID,timerIDLastChangedAt
01KCQ71RR7W3Z0C8HGRXJDD81M,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.743786962Z,30,2025-12-17T22:31:48.743786962Z,true,2025-12-17T22:47:46.757285744Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.743786962Z,0,2025-12-17T22:31:48.743786962Z,true,2025-12-17T22:47:16.722838463Z,choice,2025-12-17T22:31:48.743786962Z,01KCQ71RC730KDYTQWCGW5S5PR,2025-12-17T22:31:48.743786962Z,true,2025-12-17T22:47:16.644387317Z,true,2025-12-17T22:47:16.752332057Z,,,01KCQ71RR0G9CK0ZQBZSRVD7X0,2025-12-17T22:31:48.743786962Z
01KCQ71RV9X7KAKP61T5SHJ1G2,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.841395044Z,30,2025-12-17T22:31:48.841395044Z,true,2025-12-17T22:51:48.507444986Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.841395044Z,0,2025-12-17T22:31:48.841395044Z,true,2025-12-17T22:51:18.472188615Z,choice,2025-12-17T22:31:48.841395044Z,01KCQ71RCA482G9WNHXWPHF3V2,2025-12-17T22:31:48.841395044Z,true,2025-12-17T22:51:18.406843975Z,true,2025-12-17T22:51:18.497812344Z,,,01KCQ71RV5D6K200N91PGFPSBG,2025-12-17T22:31:48.841395044Z
01KCQ71RZJ768R032BYBW3ZKJX,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.978044056Z,30,2025-12-17T22:31:48.978044056Z,false,2025-12-17T22:31:48.978044056Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.978044056Z,0,2025-12-17T22:31:48.978044056Z,,,choice,2025-12-17T22:31:48.978044056Z,01KCQ71RCZH9EAJGJJYRRGQWX3,2025-12-17T22:31:48.978044056Z,false,2025-12-17T22:31:48.978044056Z,,,,,01KCQ71RZD5B4VNY47A528YP4D,2025-12-17T22:31:48.978044056Z
01KCQ71RQRBKFK2D62Q7NY15TK,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.728800491Z,30,2025-12-17T22:31:48.728800491Z,true,2025-12-17T22:47:16.502860908Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.728800491Z,0,2025-12-17T22:31:48.728800491Z,true,2025-12-17T22:46:46.469656945Z,choice,2025-12-17T22:31:48.728800491Z,01KCQ71RCB08R7C01R9DWF5H8Z,2025-12-17T22:31:48.728800491Z,true,2025-12-17T22:46:46.399882388Z,true,2025-12-17T22:46:46.494449171Z,,,01KCQ71RQN5HRJ4483EFB7CZBA,2025-12-17T22:31:48.728800491Z
01KCQ71RPNWR52QCJHGENK3712,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.69316556Z,30,2025-12-17T22:31:48.69316556Z,true,2025-12-17T22:45:45.708579778Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.69316556Z,0,2025-12-17T22:31:48.69316556Z,true,2025-12-17T22:45:15.681475636Z,choice,2025-12-17T22:31:48.69316556Z,01KCQ71RC27RKEZEW961TNGK3H,2025-12-17T22:31:48.69316556Z,true,2025-12-17T22:45:15.600779625Z,true,2025-12-17T22:45:15.704472589Z,,,01KCQ71RPGQ8FTFXD8RXYK2W10,2025-12-17T22:31:48.69316556Z
01KCQ71RQEQJ88X0PE0YZ91Y6M,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.718156614Z,30,2025-12-17T22:31:48.718156614Z,true,2025-12-17T22:46:46.235391625Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.718156614Z,0,2025-12-17T22:31:48.718156614Z,true,2025-12-17T22:46:16.196961181Z,choice,2025-12-17T22:31:48.718156614Z,01KCQ71RC6BFZTRJAT123YP8RH,2025-12-17T22:31:48.718156614Z,true,2025-12-17T22:46:16.118011922Z,true,2025-12-17T22:46:16.233112322Z,,,01KCQ71RQAPFFARC1CBK7Q2695,2025-12-17T22:31:48.718156614Z
01KCQ71RRKHT6W1NNHGNC4E067,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.755755046Z,30,2025-12-17T22:31:48.755755046Z,true,2025-12-17T22:48:17.086496788Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.755755046Z,0,2025-12-17T22:31:48.755755046Z,true,2025-12-17T22:47:47.050445001Z,choice,2025-12-17T22:31:48.755755046Z,01KCQ71RC8Q7HN59S7QR5M866N,2025-12-17T22:31:48.755755046Z,true,2025-12-17T22:47:46.952973068Z,true,2025-12-17T22:47:47.084966366Z,,,01KCQ71RREM6AD53FYM32Y40J6,2025-12-17T22:31:48.755755046Z
01KCQ71RKRJ18FCZ6WN2DR4MHR,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.600698072Z,30,2025-12-17T22:31:48.600698072Z,true,2025-12-17T22:41:25.001132491Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.600698072Z,0,2025-12-17T22:31:48.600698072Z,true,2025-12-17T22:40:54.977072432Z,choice,2025-12-17T22:31:48.600698072Z,01KCQ71RC34BB5YJP5ZDZRCK0Z,2025-12-17T22:31:48.600698072Z,true,2025-12-17T22:40:54.906295598Z,true,2025-12-17T22:40:54.995645485Z,,,01KCQ71RKKHM1A1YCVP7E01M8G,2025-12-17T22:31:48.600698072Z
01KCQ71RT6Q67C0Y8F3A7QV13Q,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.806881218Z,30,2025-12-17T22:31:48.806881218Z,true,2025-12-17T22:50:48.105216287Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.806881218Z,0,2025-12-17T22:31:48.806881218Z,true,2025-12-17T22:50:18.075635091Z,choice,2025-12-17T22:31:48.806881218Z,01KCQ71RCA482G9WNHX860Y7CM,2025-12-17T22:31:48.806881218Z,true,2025-12-17T22:50:18.002790416Z,true,2025-12-17T22:50:18.095964079Z,,,01KCQ71RT3CA80N20GJX9SE5JF,2025-12-17T22:31:48.806881218Z
01KCQ71RYHC316424JH40FEQH1,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:31:48.945848122Z,30,2025-12-17T22:31:48.945848122Z,true,2025-12-17T22:55:50.553741851Z,,,01KCQ6NKQW4NTDXB88A6GM7EM3,2025-12-17T22:31:48.945848122Z,0,2025-12-17T22:31:48.945848122Z,true,2025-12-17T22:55:20.521492801Z,choice,2025-12-17T22:31:48.945848122Z,01KCQ71RCXZ565R5G7Q94DK9VN,2025-12-17T22:31:48.945848122Z,true,2025-12-17T22:55:20.449363642Z,true,2025-12-17T22:55:20.544900227Z,,,01KCQ71RYFVN58X9ZPP3X92DH8,2025-12-17T22:31:48.945848122Z
