id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,cumulativeResults,cumulativeResultsLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,roundIndex,roundIndexLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01KCQ74Y7TSGQJHC1D1YR75GKP,,,01KCQ74Y753SBJK8QBV215V6GB,2025-12-17T22:33:32.666372125Z,,,false,2025-12-17T22:33:32.666372125Z,batch ended,2025-12-17T22:33:49.741066507Z,01KCQ74Y8GHH83TPV3JD1QCGGJ,2025-12-17T22:33:32.691510639Z,,,,,,,false,2025-12-17T22:33:32.666372125Z,,,terminated,2025-12-17T22:33:49.741066507Z,"{""chatEnabled"":true,""numRounds"":50,""playerCount"":10,""type"":""communication""}",2025-12-17T22:33:32.666372125Z,Standard-communication,2025-12-17T22:33:32.666372125Z
01KCQ876WA728YMQC7DACSBG5H,,,01KCQ876VQ382C359N22MD0ZYV,2025-12-17T22:52:15.626200009Z,,,false,2025-12-17T22:52:15.626200009Z,batch ended,2025-12-17T22:52:23.712729079Z,01KCQ876XB2NMH2VP06RAGN9DS,2025-12-17T22:52:15.663109825Z,,,,,,,false,2025-12-17T22:52:15.626200009Z,,,terminated,2025-12-17T22:52:23.712729079Z,"{""chatEnabled"":true,""numRounds"":50,""playerCount"":10,""type"":""communication""}",2025-12-17T22:52:15.626200009Z,Standard-communication,2025-12-17T22:52:15.626200009Z
01KCQ6NKQW4NTDXB88A6GM7EM3,10,2025-12-17T22:31:48.2256642Z,01KCQ6NKQ20HQGFV2BDPA2V949,2025-12-17T22:25:10.396874178Z,"{""Trinity College Dublin"":{""success"":5,""failures"":1},""The University of Western Australia"":{""success"":1,""failures"":3},""University of Glasgow"":{""success"":12,""failures"":5},""Heidelberg University"":{""success"":1,""failures"":3},""University of Adelaide"":{""success"":7,""failures"":2},""University of Leeds"":{""success"":308,""failures"":29},""University of Southampton"":{""success"":1,""failures"":3},""University of Sheffield"":{""success"":2,""failures"":3},""University of Nottingham"":{""success"":4,""failures"":3},""Karlsruhe Institute of Technology"":{""success"":1,""failures"":4}}",2025-12-17T22:55:50.598986689Z,false,2025-12-17T22:25:10.396874178Z,batch ended,2025-12-17T22:59:10.284167163Z,01KCQ6NKRS82B7NMNB6Q7Y5XX2,2025-12-17T22:25:10.429352982Z,01KCQ6R2CYMFWP4XGHXMKSA8NY,2025-12-17T22:26:30.952123956Z,52,2025-12-17T22:31:48.387576699Z,01KCQ71RYVWF84XMSM4HXVQ1RX,2025-12-17T22:55:50.622344166Z,true,2025-12-17T22:31:48.2256642Z,true,2025-12-17T22:31:48.2256642Z,terminated,2025-12-17T22:59:10.284167163Z,"{""chatEnabled"":true,""numRounds"":50,""playerCount"":10,""type"":""communication""}",2025-12-17T22:25:10.396874178Z,Standard-communication,2025-12-17T22:25:10.396874178Z
