Round,Overall Entropy
1,3.169925001442312
2,3.013070929103845
3,2.70143323925505
4,2.411090979321436
5,2.21258230321603
6,2.082428074788749
7,1.9193888953686613
8,1.7612114955501526
9,1.6282669907775325
10,1.5568445507235205
11,1.5005469777876177
12,1.44772228022593
13,1.3685396924728865
14,1.3409749769303092
15,1.3469170594789235
16,1.3637369902062304
17,1.3254030623402022
18,1.2663571471645283
19,1.2184496187283396
20,1.1690359475229413
21,1.1189842127915937
22,1.0993007984668777
23,1.0808521817186423
24,1.0484369450423856
25,1.0180651655505604
26,0.9895451772124418
27,0.9627087150983407
28,0.940490790692523
29,0.933643508445535
30,0.9327847299950578
31,0.933811210340423
32,0.9313158623657182
33,0.9102055645966773
34,0.9053113008444118
35,0.8858975878940869
36,0.8816694536405355
37,0.8774493668360498
38,0.860074656679122
39,0.8414011758872654
40,0.8235887927493827
41,0.8065777316706965
42,0.8180224670911358
43,0.8234395333899857
44,0.8266418886963548
45,0.8284856796234141
