id,config,configLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01KCQ74Y753SBJK8QBV215V6GB,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Standard-communication"",""desc"":""50-rounds 10-player Game with communication"",""factors"":{""chatEnabled"":true,""numRounds"":50,""playerCount"":10,""type"":""communication""}},""count"":1}]}}",2025-12-17T22:33:32.645735885Z,true,2025-12-17T22:33:32.665829442Z,"{""name"":""Long shared fail"",""kind"":""shared"",""duration"":600000000000,""strategy"":""fail""}",2025-12-17T22:33:32.645735885Z,terminated,2025-12-17T22:33:49.736765219Z
01KCQ876VQ382C359N22MD0ZYV,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Standard-communication"",""desc"":""50-rounds 10-player Game with communication"",""factors"":{""chatEnabled"":true,""numRounds"":50,""playerCount"":10,""type"":""communication""}},""count"":1}]}}",2025-12-17T22:52:15.607568857Z,true,2025-12-17T22:52:15.628003375Z,"{""name"":""Long shared fail"",""kind"":""shared"",""duration"":600000000000,""strategy"":""fail""}",2025-12-17T22:52:15.607568857Z,terminated,2025-12-17T22:52:23.706797595Z
01KCQ6NKQ20HQGFV2BDPA2V949,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Standard-communication"",""desc"":""50-rounds 10-player Game with communication"",""factors"":{""chatEnabled"":true,""numRounds"":50,""playerCount"":10,""type"":""communication""}},""count"":1}]}}",2025-12-17T22:25:10.370101306Z,true,2025-12-17T22:25:10.397822075Z,"{""name"":""Long shared fail"",""kind"":""shared"",""duration"":600000000000,""strategy"":""fail""}",2025-12-17T22:25:10.370101306Z,terminated,2025-12-17T22:59:10.270777253Z
