Round,Average Entropy
1,0.0
2,0.9
3,1.1931329173157073
4,1.3040852082972756
5,1.363377038225995
6,1.4486964527434996
7,1.424561066954024
8,1.3871407550984454
9,1.3307133533660218
10,1.309619000461573
11,1.281778386367851
12,1.3435101375672942
13,1.3619430097839014
14,1.3537704103391155
15,1.3871691989490789
16,1.3828192537695252
17,1.4586623954203617
18,1.513064280759202
19,1.586369799160307
20,1.6271701876522815
21,1.6043732977573602
22,1.608729724966917
23,1.606138133280199
24,1.6059785666102784
25,1.5922155343300157
26,1.5902612493820905
27,1.5911676481937451
28,1.577165371494715
29,1.5678926893051295
30,1.5623699542496265
31,1.5575428980489312
32,1.5629941436488768
33,1.547381109512869
34,1.535597809112228
35,1.5182129948938794
36,1.4989010639398912
37,1.486044051680639
38,1.4755202565240586
39,1.4695046587646092
40,1.4603371939690188
41,1.4743358019433481
42,1.4862386518779753
43,1.4759869767666696
44,1.464139620370571
45,1.4599074691453091
46,1.4589240564242925
47,1.4540101761044073
48,1.4506207698321782
49,1.4386109473354705
50,1.4327119123888827
51,1.4385682170341352
