Round,Overall Entropy
1,3.169925001442312
2,2.9000516989995426
3,2.7049271365845633
4,2.557104065172299
5,2.4219908364919602
6,2.397952081608557
7,2.3342679238606525
8,2.3010302296189775
9,2.2595164503366614
10,2.235419869504389
11,2.2199064199007257
12,2.1624330816776713
13,2.158180196242133
14,2.1142912313168485
15,2.1324139992355167
16,2.1310279596476485
17,2.1574756976552627
18,2.161175260202183
19,2.156980990380899
20,2.186982348875853
21,2.163148590253346
22,2.1518912212332193
23,2.162656620185383
24,2.1596134884736204
25,2.1467244127707086
26,2.1580275962528335
27,2.164678039463846
28,2.1454474949794458
29,2.1493221795147828
30,2.151326068665116
31,2.161406084696448
32,2.176727630115363
33,2.173113702539277
34,2.1538723605719046
35,2.1480147413391597
36,2.141502163892319
37,2.131526436647958
38,2.1258751088424996
39,2.127967662207852
40,2.130854827376627
41,2.149586134888945
42,2.1633417026633506
43,2.1612158394995364
44,2.160243436658762
45,2.157858443462513
46,2.156490546135385
47,2.1419224436343427
48,2.146099902488254
49,2.1401463235916642
50,2.1340887950964222
51,2.1361692494214095
