roundID,01KCQ2N41GPJRS10JH6XTKW15W,01KCQ2SJ6MQWE9X9WVRT17GVN7,01KCQ2JQBZNVQSXGW7RQG26ZES,01KCQ2REZK80ZJZCBB7BHTJ285,01KCQ2VJME04ZY65SKN0RJFP92,01KCQ2QMYFNGHW0JQM42RA7YXY,01KCQ2RSJ1X35MPCQY5HT24E7B,01KCQ2PQ2XQNEXS1ZEYHHPP4SY,01KCQ301HA8ZM5HHRMQQDWQZTS,01KCQ2KZK8Z2KTV9XT2F24PB3J
01KCQ30HNSZS61K2RABZNWWTKR,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Karlsruhe Institute of Technology,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin
01KCQ30HNQZAVF18CX83A2V8HK,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin
01KCQ30HNP7K97NMKN373B2DYB,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin
01KCQ30HNP7K97NMKN3X1QZ1TX,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin
01KCQ30HP203PF10KKKTG0TEXB,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin
01KCQ30HNY4HJS1V5G113D286X,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin
01KCQ30HNXGVG7HH3HJTW1X3TD,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin
01KCQ30HNW48YYAHGFK6EW76AA,Karlsruhe Institute of Technology,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin
01KCQ30HNT3F7FJQRJAGZXBE45,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin
01KCQ30HNRES2J266T1X0CBNJA,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin
01KCQ30HP5C78J1F1C19B08MAW,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin
01KCQ30HP203PF10KKK89SVSWA,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin
01KCQ30HP0KKMRC9HEZFYE348Y,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin
01KCQ30HNZQ6N7GA3X87GXASCA,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin
01KCQ30HP317K3R2W4QCXX2V6B,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Leeds,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin
01KCQ30HP1M9T93XWPTWVBJY0J,,,,,,,,,,
