Round,Average Entropy
1,0.0
2,0.9
3,1.1597995839823738
4,1.1933834373377397
5,1.4093442852255484
6,1.395227867633587
7,1.3626255923538786
8,1.2998121852159756
9,1.234888917491754
10,1.1728626885573994
11,1.1610979979810556
12,1.1922847081655341
13,1.2688740176072266
14,1.3025642041479273
15,1.304882147338919
16,1.3029026284079417
17,1.3954196346668284
18,1.4264863658747369
19,1.4588307734886012
20,1.4770170784244947
21,1.489943331871103
22,1.4895970786867863
23,1.495872567308145
24,1.488598679499231
25,1.4880937754949053
26,1.4848502764228393
27,1.4840911407918014
28,1.5033761656427558
29,1.5160180688654152
30,1.5248777553710942
31,1.5265633307220254
32,1.5248249365237059
33,1.5190084985689327
34,1.5240899758488082
35,1.5231389559689767
36,1.5347429079241723
37,1.5524115223314703
38,1.552161554938856
39,1.549306979299871
40,1.5582361699506957
41,1.5603399266462188
42,1.5592765667735773
43,1.5560362393991922
44,1.565196177243282
45,1.5588835415389988
46,1.5515852162826578
47,1.543502757002684
48,1.5347937369805207
49,1.525583995880329
50,1.5159755954600624
51,1.5060522795528595
