id,actualPlayerCount,actualPlayerCountLastChangedAt,batchID,batchIDLastChangedAt,cumulativeResults,cumulativeResultsLastChangedAt,ended,endedLastChangedAt,endedReason,endedReasonLastChangedAt,groupID,groupIDLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,roundIndex,roundIndexLastChangedAt,stageID,stageIDLastChangedAt,start,startLastChangedAt,starting,startingLastChangedAt,status,statusLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt
01KCQ2HKM1M6MJ96T2BXESBV3M,10,2025-12-17T21:21:14.218713975Z,01KCQ2HKKA1QXFS59CNCSQ39YE,2025-12-17T21:13:04.897536895Z,"{""Trinity College Dublin"":{""success"":245,""failures"":31},""The University of Western Australia"":{""success"":2,""failures"":3},""University of Glasgow"":{""success"":57,""failures"":20},""Heidelberg University"":{""success"":1,""failures"":2},""University of Adelaide"":{""success"":3,""failures"":4},""University of Leeds"":{""success"":12,""failures"":3},""University of Southampton"":{""success"":1,""failures"":3},""University of Sheffield"":{""success"":3,""failures"":2},""University of Nottingham"":{""success"":90,""failures"":39},""Karlsruhe Institute of Technology"":{""success"":1,""failures"":5}}",2025-12-17T21:32:49.619794737Z,true,2025-12-17T21:34:17.766399272Z,end of game,2025-12-17T21:34:17.780611253Z,01KCQ2HKMZ4C05M475JQ5ZRBQY,2025-12-17T21:13:04.933479507Z,01KCQ2MQBRKKM0AQAXC0TTQA7Z,2025-12-17T21:14:47.039470827Z,52,2025-12-17T21:21:14.438068545Z,null,2025-12-17T21:34:17.766399272Z,true,2025-12-17T21:21:14.218713975Z,true,2025-12-17T21:21:14.218713975Z,ended,2025-12-17T21:34:17.780611253Z,"{""chatEnabled"":true,""numRounds"":50,""playerCount"":10,""type"":""communication""}",2025-12-17T21:13:04.897536895Z,Standard-communication,2025-12-17T21:13:04.897536895Z
01KCQ317QBDW7NX3TCTTAFCBTH,,,01KCQ317PFHP3PQ9Y35QQRF1HW,2025-12-17T21:21:37.00357567Z,,,false,2025-12-17T21:21:37.00357567Z,batch ended,2025-12-17T21:21:51.457124818Z,01KCQ317RN98DNMKQ5BXS4CV0E,2025-12-17T21:21:37.056680424Z,,,,,,,false,2025-12-17T21:21:37.00357567Z,,,terminated,2025-12-17T21:21:51.457124818Z,"{""chatEnabled"":true,""numRounds"":50,""playerCount"":10,""type"":""communication""}",2025-12-17T21:21:37.00357567Z,Standard-communication,2025-12-17T21:21:37.00357567Z
01KCQ33DRN0RGJHQ04YPB0F8JW,,,01KCQ33DQY7GT81MZWPQQA3HS0,2025-12-17T21:22:48.725696067Z,,,false,2025-12-17T21:22:48.725696067Z,batch ended,2025-12-17T21:23:35.627091488Z,01KCQ33DSNRQAR7XNBBNCC8DYZ,2025-12-17T21:22:48.760658629Z,01KCQ34CS1ATKCARXDN5D84WJT,2025-12-17T21:23:20.486602233Z,,,,,false,2025-12-17T21:22:48.725696067Z,,,terminated,2025-12-17T21:23:35.627091488Z,"{""chatEnabled"":true,""numRounds"":50,""playerCount"":10,""type"":""communication""}",2025-12-17T21:22:48.725696067Z,Standard-communication,2025-12-17T21:22:48.725696067Z
