Round,Average Entropy
1,0.0
2,0.4
3,0.6924812503605781
4,0.7540852082972755
5,0.8274876693206382
6,0.8182899558234329
7,0.9095327727569714
8,1.0220886327815746
9,1.1194055576917181
10,1.198204047936925
11,1.211904672255888
12,1.2247099389022837
13,1.2262681477678288
14,1.2213383127240038
15,1.2337508598926605
16,1.2217030532406636
17,1.233421628060925
18,1.2255866104705604
19,1.2088168621390332
20,1.2032696805753056
21,1.2106706229156194
22,1.207208264682051
23,1.2026057841977462
24,1.2142221409765077
25,1.2311017395995998
26,1.2358767839944522
27,1.2624781870990118
28,1.3019214626282882
29,1.2954746341626766
30,1.3012583916036333
31,1.310323632161399
32,1.3125358454233875
33,1.3161338836798346
34,1.3347055203715754
35,1.3335365125312504
36,1.3535159395565866
37,1.3719577508540233
38,1.3685674584704794
39,1.365482523850716
40,1.360248644912504
41,1.348747735456753
42,1.3481096737287088
43,1.3535809293818646
44,1.3486265646650832
45,1.3508054070446682
46,1.3461920096976676
47,1.342703083438081
48,1.3516465607588584
49,1.3493017918096362
50,1.3505676909673303
51,1.3563877096720318
