Round,Overall Entropy
1,3.0
2,2.7898980954642876
3,2.2724994555866935
4,1.9391144718101818
5,1.7992169421122157
6,1.5935939135560089
7,1.4594247659346455
8,1.5755930536470324
9,1.5976608098798728
10,1.7045530530137267
11,1.7676215419075505
12,1.7884993791782744
13,1.7890286548365884
14,1.8010159394700873
15,1.820446432795425
16,1.8398418194648398
17,1.8476338431477977
18,1.8651031272688623
19,1.8677801696037086
20,1.8719875570552356
21,1.8571959351254368
22,1.8548711334247996
23,1.858839126238902
24,1.875754055579689
25,1.8753919011137161
26,1.8925278853466612
27,1.9084691712491184
28,1.9388119686595515
29,1.9248318196342467
30,1.9360698082794237
31,1.933806376069331
32,1.946206911818046
33,1.9573497359715988
34,1.974831908282258
35,1.976924877879995
36,2.0033999297554277
37,2.0192805042444038
38,2.0145014908087004
39,2.0179395663829545
40,2.019239891390013
41,1.9994794326713219
42,2.007563763453759
43,2.0119412118698827
44,2.0162747165953285
45,2.0226085887920697
46,2.027817013781345
47,2.029199613964158
48,2.0457959660083342
49,2.0533283486766454
50,2.0565292773036306
51,2.0579455008584584
