roundID,01JTNS8VX6REHW16TJWE1R437P,01JTNSB3MTD001M2CV90W3RV9A,01JTNS860459Q20M5J95GNKMWJ,01JTNS800XKB2QRWZR7D3MV6R0,01JTNSB4JC26PT3D2WNAGYS6KP,01JTNS7NPXBWAM6WBJVKS07CGG,01JTNS9QBNYAS004J80MYRQ02G,01JTNS7T84SCKGMTGACRJQJW6D,01JTNS7W3P8TCBQE14F22MEHNH,01JTNS7PQHWSEREKR6CK206ESW
01JTNSBMY6PA4D9B4VQZQYFP0A,Amber,Indigo,Sky Blue,Sky Blue,Sky Blue,Crimson,Sky Blue,Sky Blue,Sky Blue,Sky Blue
01JTNSBMY5B9CJJ9CKG0H1M3B0,Amber,Orange,Sky Blue,Sky Blue,Crimson,Crimson,Sky Blue,Sky Blue,Sky Blue,Sky Blue
01JTNSBMYH239ZRBXSRTS6B5GV,Amber,Crimson,Sky Blue,Slate,Crimson,Crimson,Sky Blue,Sky Blue,Crimson,Sky Blue
01JTNSBMYKBVSYR59D7ECKXG7S,Amber,Orange,Sky Blue,Sky Blue,Crimson,Crimson,Sky Blue,Sky Blue,Crimson,Sky Blue
01JTNSBMXZDF0KQJF6C1XMF9MB,Black,Crimson,Sky Blue,Sky Blue,Crimson,Crimson,Sky Blue,Sky Blue,Crimson,Sky Blue
01JTNSBMXY6RAZXE1PJHRDQBTZ,Purple,Orange,Sky Blue,Sky Blue,Orange,Crimson,Sky Blue,Sky Blue,Crimson,Sky Blue
01JTNSBMXZDF0KQJF6CQ1EVYPG,Purple,Orange,Sky Blue,Sky Blue,Crimson,Crimson,Sky Blue,Sky Blue,Crimson,Sky Blue
01JTNSBMXW3HNJ5ZCHBMNJGZMS,Bright Green,Crimson,Sky Blue,Sky Blue,Crimson,Crimson,Sky Blue,Sky Blue,Crimson,Sky Blue
01JTNSBMXXWCYDZ9TAWJ8DBES4,Bright Green,Sky Blue,Crimson,Sky Blue,Crimson,Crimson,Sky Blue,Sky Blue,Crimson,Sky Blue
01JTNSBMXXWCYDZ9TAW33B4F1D,,,,,,,,,,
