id,batchID,batchIDLastChangedAt,duration,durationLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,initialized,initializedLastChangedAt,name,nameLastChangedAt,roundID,roundIDLastChangedAt,start,startLastChangedAt,started,startedLastChangedAt,timerID,timerIDLastChangedAt
01JTNSBN0SKPJGSMPDVZ745BTK,01JTNRWRNBYTRE4PNH7H4Q7PJ8,2025-05-07T16:30:45.273376336Z,60,2025-05-07T16:30:45.273376336Z,true,2025-05-07T16:31:49.16281032Z,01JTNRWRP7VPBABJZ0VV7AB4AR,2025-05-07T16:30:45.273376336Z,0,2025-05-07T16:30:45.273376336Z,true,2025-05-07T16:30:49.13892057Z,introduction,2025-05-07T16:30:45.273376336Z,01JTNSBMWAPQBKR58XEDHV7PD4,2025-05-07T16:30:45.273376336Z,true,2025-05-07T16:30:48.895159785Z,true,2025-05-07T16:30:49.166378476Z,01JTNSBN0K81PTAG7BD76939SS,2025-05-07T16:30:45.273376336Z
01JTNSBNMKCVKD922YSPB1E0D0,01JTNRWRNBYTRE4PNH7H4Q7PJ8,2025-05-07T16:30:45.907821088Z,30,2025-05-07T16:30:45.907821088Z,true,2025-05-07T16:44:56.751147907Z,01JTNRWRP7VPBABJZ0VV7AB4AR,2025-05-07T16:30:45.907821088Z,0,2025-05-07T16:30:45.907821088Z,true,2025-05-07T16:44:26.711127044Z,choice,2025-05-07T16:30:45.907821088Z,01JTNSBMYF1NK53XYR3WQTSZ58,2025-05-07T16:30:45.907821088Z,true,2025-05-07T16:44:26.593373205Z,true,2025-05-07T16:44:26.746411436Z,01JTNSBNMGA57M1G5HZ5S0GKRV,2025-05-07T16:30:45.907821088Z
01JTNSBNNCJPZS1W1WMF25MYJG,01JTNRWRNBYTRE4PNH7H4Q7PJ8,2025-05-07T16:30:45.932488013Z,30,2025-05-07T16:30:45.932488013Z,true,2025-05-07T16:45:44.711534994Z,01JTNRWRP7VPBABJZ0VV7AB4AR,2025-05-07T16:30:45.932488013Z,0,2025-05-07T16:30:45.932488013Z,true,2025-05-07T16:45:27.449416187Z,choice,2025-05-07T16:30:45.932488013Z,01JTNSBMYDZCAQZGG94Y5F8A4Q,2025-05-07T16:30:45.932488013Z,true,2025-05-07T16:45:27.32188439Z,true,2025-05-07T16:45:27.492542074Z,01JTNSBNN9WAXMWSMSQRFCGT9R,2025-05-07T16:30:45.932488013Z
01JTNSBN4EE88ZSJEX3PSZNZ9E,01JTNRWRNBYTRE4PNH7H4Q7PJ8,2025-05-07T16:30:45.39126308Z,30,2025-05-07T16:30:45.39126308Z,true,2025-05-07T16:35:20.562410096Z,01JTNRWRP7VPBABJZ0VV7AB4AR,2025-05-07T16:30:45.39126308Z,0,2025-05-07T16:30:45.39126308Z,true,2025-05-07T16:34:50.546845171Z,choice,2025-05-07T16:30:45.39126308Z,01JTNSBMXRGTDY6W1HJRQNJG0K,2025-05-07T16:30:45.39126308Z,true,2025-05-07T16:34:50.488041799Z,true,2025-05-07T16:34:50.567123083Z,01JTNSBN4ARZ73NAHQC38EJ5V7,2025-05-07T16:30:45.39126308Z
01JTNSBNT6QVVK7P09EFSQZRMA,01JTNRWRNBYTRE4PNH7H4Q7PJ8,2025-05-07T16:30:46.086724066Z,30,2025-05-07T16:30:46.086724066Z,true,2025-05-07T16:48:10.512730307Z,01JTNRWRP7VPBABJZ0VV7AB4AR,2025-05-07T16:30:46.086724066Z,0,2025-05-07T16:30:46.086724066Z,true,2025-05-07T16:47:54.214088996Z,choice,2025-05-07T16:30:46.086724066Z,01JTNSBMYKBVSYR59D7ECKXG7S,2025-05-07T16:30:46.086724066Z,true,2025-05-07T16:47:54.118581876Z,true,2025-05-07T16:47:54.239086443Z,01JTNSBNT1GWSGX570Q1DG4E6N,2025-05-07T16:30:46.086724066Z
01JTNSBN7S75MHS86FBPNHMG6Z,01JTNRWRNBYTRE4PNH7H4Q7PJ8,2025-05-07T16:30:45.497668658Z,30,2025-05-07T16:30:45.497668658Z,true,2025-05-07T16:36:53.280518107Z,01JTNRWRP7VPBABJZ0VV7AB4AR,2025-05-07T16:30:45.497668658Z,0,2025-05-07T16:30:45.497668658Z,true,2025-05-07T16:36:33.285828954Z,choice,2025-05-07T16:30:45.497668658Z,01JTNSBMXQD9272TTX6AC8QX6B,2025-05-07T16:30:45.497668658Z,true,2025-05-07T16:36:33.225794856Z,true,2025-05-07T16:36:33.307190706Z,01JTNSBN7K6X2CD3JT7GPY98WW,2025-05-07T16:30:45.497668658Z
01JTNSBN9SXMEB6304SGNM3RZ0,01JTNRWRNBYTRE4PNH7H4Q7PJ8,2025-05-07T16:30:45.561752968Z,30,2025-05-07T16:30:45.561752968Z,true,2025-05-07T16:37:49.236659454Z,01JTNRWRP7VPBABJZ0VV7AB4AR,2025-05-07T16:30:45.561752968Z,0,2025-05-07T16:30:45.561752968Z,true,2025-05-07T16:37:30.714007375Z,choice,2025-05-07T16:30:45.561752968Z,01JTNSBMXEJW7A7RQJ74Q6NE8B,2025-05-07T16:30:45.561752968Z,true,2025-05-07T16:37:30.640925751Z,true,2025-05-07T16:37:30.735477154Z,01JTNSBN9FNYS2V1JWFVD0FKXF,2025-05-07T16:30:45.561752968Z
01JTNSBNAHZAXDQWYC1DER5G4F,01JTNRWRNBYTRE4PNH7H4Q7PJ8,2025-05-07T16:30:45.585862842Z,30,2025-05-07T16:30:45.585862842Z,true,2025-05-07T16:38:07.56355688Z,01JTNRWRP7VPBABJZ0VV7AB4AR,2025-05-07T16:30:45.585862842Z,0,2025-05-07T16:30:45.585862842Z,true,2025-05-07T16:37:49.445744687Z,choice,2025-05-07T16:30:45.585862842Z,01JTNSBMXEJW7A7RQJ6MQQP1BS,2025-05-07T16:30:45.585862842Z,true,2025-05-07T16:37:49.368576542Z,true,2025-05-07T16:37:49.478558378Z,01JTNSBNADBVYES93E7R0PVXV9,2025-05-07T16:30:45.585862842Z
01JTNSBNB319E1NCRKM36Y0QHB,01JTNRWRNBYTRE4PNH7H4Q7PJ8,2025-05-07T16:30:45.60325138Z,30,2025-05-07T16:30:45.60325138Z,true,2025-05-07T16:38:36.161322479Z,01JTNRWRP7VPBABJZ0VV7AB4AR,2025-05-07T16:30:45.60325138Z,0,2025-05-07T16:30:45.60325138Z,true,2025-05-07T16:38:07.915664935Z,choice,2025-05-07T16:30:45.60325138Z,01JTNSBMXQD9272TTX74598W1X,2025-05-07T16:30:45.60325138Z,true,2025-05-07T16:38:07.825215842Z,true,2025-05-07T16:38:07.943686386Z,01JTNSBNAZ6HBF7F67170FEKQN,2025-05-07T16:30:45.60325138Z
01JTNSBNBK8WKRZ4YRQQEMSVDX,01JTNRWRNBYTRE4PNH7H4Q7PJ8,2025-05-07T16:30:45.619216419Z,30,2025-05-07T16:30:45.619216419Z,true,2025-05-07T16:38:56.102650731Z,01JTNRWRP7VPBABJZ0VV7AB4AR,2025-05-07T16:30:45.619216419Z,0,2025-05-07T16:30:45.619216419Z,true,2025-05-07T16:38:36.39520539Z,choice,2025-05-07T16:30:45.619216419Z,01JTNSBMXDH46FNE0QC077QVV1,2025-05-07T16:30:45.619216419Z,true,2025-05-07T16:38:36.339676613Z,true,2025-05-07T16:38:36.421855973Z,01JTNSBNBF4236JXGWSMKAAWF2,2025-05-07T16:30:45.619216419Z
