id,Sky Blue,Slate,Purple,Indigo,Amber,Crimson,Pink,Black,Bright Green,Orange,entropy
01JTNS9QBNYAS004J80MYRQ02G,70.0,8.0,0.0,2.0,1.0,10.0,2.0,1.0,1.0,5.0,1.6250688636801438
01JTNSB4JC26PT3D2WNAGYS6KP,30.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,10.0,1.295461844238322
01JTNS7NPXBWAM6WBJVKS07CGG,45.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.9927744539878084
01JTNS7PQHWSEREKR6CK206ESW,50.0,30.0,1.0,2.0,5.0,6.0,3.0,1.0,0.0,2.0,1.9911178863955343
01JTNS800XKB2QRWZR7D3MV6R0,35.0,13.0,2.0,7.0,6.0,15.0,2.0,11.0,1.0,8.0,2.7693663085069624
01JTNS8VX6REHW16TJWE1R437P,60.0,10.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.295461844238322
01JTNSB3MTD001M2CV90W3RV9A,15.0,34.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,12.0,1.836582868965516
01JTNS7T84SCKGMTGACRJQJW6D,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01JTNS7W3P8TCBQE14F22MEHNH,30.0,8.0,5.0,6.0,2.0,35.0,2.0,5.0,2.0,7.0,2.6026982452172494
01JTNS860459Q20M5J95GNKMWJ,70.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.8812908992306927
average,50.5,10.3,0.8,1.7,1.4,28.0,0.9,1.8,0.4,4.4,1.5289823214460552
