Round,Average Entropy
1,0.0
2,0.8
3,1.067970000576925
4,1.1122556248918265
5,1.196281978780528
6,1.1719446383046601
7,1.228528135955124
8,1.1998121852159755
9,1.2328213907372507
10,1.2312244210093921
11,1.1996152681331356
12,1.167385726161282
13,1.1394735379750258
14,1.1029333023992343
15,1.066710588320285
16,1.0316669728266514
17,1.0068787419286849
18,0.9832851636635717
19,0.9586040884144278
20,0.9309684198752993
21,0.9086732991641255
22,0.8841899804682265
23,0.860936026993973
24,0.8388530058598498
25,0.8435752878996066
26,0.8362939943483152
27,0.8376566978634921
28,0.8253068390351711
29,0.8126554825724716
30,0.7999162406345269
31,0.783554660411033
32,0.7812018608431186
33,0.7661923234003263
34,0.7517602014476866
35,0.7413021691903834
36,0.7309305146124718
37,0.7206887932484569
38,0.7086018374352137
39,0.7182836293784975
40,0.7132221462250949
41,0.7035841583045988
42,0.7034601195041283
43,0.7019306502274214
44,0.7001240064599694
45,0.6898177836549759
46,0.6798266212340591
47,0.6756996017063659
48,0.6716400790431917
49,0.6761637337211222
50,0.6764755678125075
51,0.6752677884551781
