id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01JW973RFZ5RMN96Y4ZPYJBM6Y,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Standard-communication"",""desc"":""50-rounds 10-player Game with communication"",""factors"":{""chatEnabled"":true,""numRounds"":50,""playerCount"":10,""type"":""communication""}},""count"":1}]}}",2025-05-27T15:52:22.783481323Z,all games finished,2025-05-27T16:17:49.144464022Z,true,2025-05-27T15:52:22.805126371Z,"{""name"":""Long shared fail"",""kind"":""shared"",""duration"":600000000000,""strategy"":""fail""}",2025-05-27T15:52:22.783481323Z,ended,2025-05-27T16:17:49.144464022Z
01JW97AX47V8FS2VJF8BRVS2R3,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Standard-communication"",""desc"":""50-rounds 10-player Game with communication"",""factors"":{""chatEnabled"":true,""numRounds"":50,""playerCount"":10,""type"":""communication""}},""count"":1}]}}",2025-05-27T15:56:16.903402995Z,,,true,2025-05-27T15:56:16.914691927Z,"{""name"":""Long shared fail"",""kind"":""shared"",""duration"":600000000000,""strategy"":""fail""}",2025-05-27T15:56:16.903402995Z,terminated,2025-05-27T16:00:02.711420499Z
