id,batchID,batchIDLastChangedAt,chatEnabled,chatEnabledLastChangedAt,ended,endedLastChangedAt,flag,flagLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,isTutorial,isTutorialLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt
01JW97A1XPP73A6YC21EHK6VDS,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.046617618Z,true,2025-05-27T15:55:49.046617618Z,true,2025-05-27T16:06:08.616598278Z,true,2025-05-27T15:55:49.046617618Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.046617618Z,25,2025-05-27T15:55:49.046617618Z,false,2025-05-27T15:55:49.046617618Z,Communication Round 24,2025-05-27T15:55:49.046617618Z,1,2025-05-27T15:55:49.361347298Z,true,2025-05-27T16:05:55.528045324Z
01JW97A1XQ6X14745MC8VF0793,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.047114197Z,true,2025-05-27T15:55:49.047114197Z,true,2025-05-27T16:05:55.504410051Z,true,2025-05-27T15:55:49.047114197Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.047114197Z,24,2025-05-27T15:55:49.047114197Z,false,2025-05-27T15:55:49.047114197Z,Communication Round 23,2025-05-27T15:55:49.047114197Z,1,2025-05-27T15:55:49.347509241Z,true,2025-05-27T16:05:41.429332916Z
01JW97A1XEP3WG934RVHKM4J8W,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.038363042Z,true,2025-05-27T15:55:49.038363042Z,true,2025-05-27T16:00:54.420439158Z,true,2025-05-27T15:55:49.038363042Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.038363042Z,9,2025-05-27T15:55:49.038363042Z,false,2025-05-27T15:55:49.038363042Z,Communication Round 8,2025-05-27T15:55:49.038363042Z,1,2025-05-27T15:55:49.203665161Z,true,2025-05-27T16:00:32.663096079Z
01JW97A1XNY10R62CWE76X5614,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.045138438Z,true,2025-05-27T15:55:49.045138438Z,true,2025-05-27T16:03:54.621541272Z,true,2025-05-27T15:55:49.045138438Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.045138438Z,18,2025-05-27T15:55:49.045138438Z,false,2025-05-27T15:55:49.045138438Z,Communication Round 17,2025-05-27T15:55:49.045138438Z,1,2025-05-27T15:55:49.287733541Z,true,2025-05-27T16:03:43.362815026Z
01JW97A1XTMKR6BT8NV471F4T1,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.050648394Z,true,2025-05-27T15:55:49.050648394Z,true,2025-05-27T16:11:33.548029826Z,true,2025-05-27T15:55:49.050648394Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.050648394Z,41,2025-05-27T15:55:49.050648394Z,false,2025-05-27T15:55:49.050648394Z,Communication Round 40,2025-05-27T15:55:49.050648394Z,1,2025-05-27T15:55:49.530255217Z,true,2025-05-27T16:11:03.332627665Z
01JW97A1XW7TBSP76YKM6FTMY5,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.052976934Z,true,2025-05-27T15:55:49.052976934Z,true,2025-05-27T16:13:26.336833557Z,true,2025-05-27T15:55:49.052976934Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.052976934Z,47,2025-05-27T15:55:49.052976934Z,false,2025-05-27T15:55:49.052976934Z,Communication Round 46,2025-05-27T15:55:49.052976934Z,1,2025-05-27T15:55:49.601780575Z,true,2025-05-27T16:13:14.542081137Z
01JW97A1XGKPTZPXYG16X34GS5,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.040205777Z,true,2025-05-27T15:55:49.040205777Z,true,2025-05-27T16:02:29.583988427Z,true,2025-05-27T15:55:49.040205777Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.040205777Z,13,2025-05-27T15:55:49.040205777Z,false,2025-05-27T15:55:49.040205777Z,Communication Round 12,2025-05-27T15:55:49.040205777Z,1,2025-05-27T15:55:49.241460347Z,true,2025-05-27T16:02:10.699930648Z
01JW97A1XRG2CEG6PZT6XC7BCY,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.048493698Z,true,2025-05-27T15:55:49.048493698Z,true,2025-05-27T16:07:51.596968738Z,true,2025-05-27T15:55:49.048493698Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.048493698Z,31,2025-05-27T15:55:49.048493698Z,false,2025-05-27T15:55:49.048493698Z,Communication Round 30,2025-05-27T15:55:49.048493698Z,1,2025-05-27T15:55:49.429647919Z,true,2025-05-27T16:07:27.504831651Z
01JW97A1XZYN8EZ7AA0W9WBTC1,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.055227068Z,true,2025-05-27T15:55:49.055227068Z,true,2025-05-27T16:14:13.481258231Z,true,2025-05-27T15:55:49.055227068Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.055227068Z,50,2025-05-27T15:55:49.055227068Z,false,2025-05-27T15:55:49.055227068Z,Communication Round 49,2025-05-27T15:55:49.055227068Z,1,2025-05-27T15:55:49.625432821Z,true,2025-05-27T16:13:59.23672799Z
01JW97A1XF5WWQYY20CQ0ZMT1J,01JW973RFZ5RMN96Y4ZPYJBM6Y,2025-05-27T15:55:49.039992375Z,true,2025-05-27T15:55:49.039992375Z,true,2025-05-27T16:02:10.674052777Z,true,2025-05-27T15:55:49.039992375Z,01JW973RGMPWP4THHA9146AQ1P,2025-05-27T15:55:49.039992375Z,12,2025-05-27T15:55:49.039992375Z,false,2025-05-27T15:55:49.039992375Z,Communication Round 11,2025-05-27T15:55:49.039992375Z,1,2025-05-27T15:55:49.228893719Z,true,2025-05-27T16:01:40.724450441Z
