Round,Overall Entropy
1,3.0
2,3.101881223476018
3,2.8818161598663123
4,2.884470873222436
5,2.6803212590753205
6,2.6719015164196236
7,2.8293020969606357
8,2.8824353326644987
9,2.8885517158481298
10,2.8263221761931185
11,2.730870791604263
12,2.624177280145411
13,2.5298845645898544
14,2.4407899199028384
15,2.3447321210696277
16,2.25439747276846
17,2.1699173037407924
18,2.0911023269747573
19,2.0176194364660445
20,1.9490813024677587
21,1.8850920060917493
22,1.8562453239018897
23,1.7992878116632043
24,1.7458658723610092
25,1.6956775210625314
26,1.6608395533242988
27,1.6161515256304555
28,1.5739516892356353
29,1.5340411256414037
30,1.507674320029485
31,1.4957169982332386
32,1.4609310267042421
33,1.4278429010420817
34,1.3963308400701073
35,1.382644174423347
36,1.3798187354063067
37,1.3868134853466043
38,1.3961467601183923
39,1.3914279786905352
40,1.3983543812825179
41,1.3930318994139363
42,1.3877308904186434
43,1.390794430400601
44,1.385356086704487
45,1.3894984513862771
46,1.3822786209911766
47,1.3823039916529285
48,1.3749489810720525
49,1.3743159245912822
50,1.3732843997461626
51,1.365845154533918
