id,batchID,batchIDLastChangedAt,decision,decisionLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,score,scoreLastChangedAt
01KCPZ5T0X9WRA5D11N2TG0T5M,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:14:12.50988997Z,University of Leeds,2025-12-17T20:14:13.915235932Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:14:12.50988997Z,01KCPY047ZK869J5R8RWVJE2Z0,2025-12-17T20:14:12.50988997Z,01KCPY7F1EJQBG95MNXGQPFQKF,2025-12-17T20:14:12.50988997Z,1,2025-12-17T20:14:13.912709462Z
01KCPY9CJGEHYZ3VXR4J6APQXH,01KCPXWMAGGV393451K75FMFKG,2025-12-17T19:58:41.232970968Z,,,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T19:58:41.232970968Z,01KCPXYXA2EY5ZCFTPXEBTTE8G,2025-12-17T19:58:41.232970968Z,01KCPY7F0NJHM83E91KX6V7J36,2025-12-17T19:58:41.232970968Z,,
01KCPYKX0YS8BEZA4DMHBQD3YS,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:04:25.758284553Z,University of Leeds,2025-12-17T20:04:29.023715041Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:04:25.758284553Z,01KCPY4G5PSR4GZVXYDMAG8SYF,2025-12-17T20:04:25.758284553Z,01KCPY7F13TMT10SPS3CDA5M0R,2025-12-17T20:04:25.758284553Z,1,2025-12-17T20:04:29.030998193Z
01KCPZ0M337AHJQW9314DJH9D4,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:11:22.595220657Z,University of Leeds,2025-12-17T20:11:26.056830589Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:11:22.595220657Z,01KCPY20QCGA9NB263TN394XP6,2025-12-17T20:11:22.595220657Z,01KCPY7F1EJQBG95MNWXNF4X5X,2025-12-17T20:11:22.595220657Z,1,2025-12-17T20:11:26.058612166Z
01KCPYQC142VBAVRFTYN2T9HBN,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:06:19.42810907Z,University of Leeds,2025-12-17T20:06:30.655719988Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:06:19.42810907Z,01KCPY20QCGA9NB263TN394XP6,2025-12-17T20:06:19.42810907Z,01KCPY7F18925DTF5402VCP49Y,2025-12-17T20:06:19.42810907Z,1,2025-12-17T20:06:30.653181981Z
01KCPYZJAWQTKVBMS8GJ4XJTG3,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:10:48.028042461Z,University of Glasgow,2025-12-17T20:10:50.941797481Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:10:48.028042461Z,01KCPY6KSCFSR04EWGHZWGW1VR,2025-12-17T20:10:48.028042461Z,01KCPY7F1HCZD15SKK0PZES5S5,2025-12-17T20:10:48.028042461Z,0,2025-12-17T20:10:50.943552205Z
01KCPZ13K512W00525PR61ASY6,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:11:38.469811924Z,University of Leeds,2025-12-17T20:11:41.590981051Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:11:38.469811924Z,01KCPY4G5PSR4GZVXYDMAG8SYF,2025-12-17T20:11:38.469811924Z,01KCPY7F1JDRKVR6BNM5D5D66E,2025-12-17T20:11:38.469811924Z,0,2025-12-17T20:11:41.597794352Z
01KCPZ29AVCEA4AGTX75KM530M,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:12:17.115772239Z,University of Leeds,2025-12-17T20:12:18.080913926Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:12:17.115772239Z,01KCPY047ZK869J5R8RWVJE2Z0,2025-12-17T20:12:17.115772239Z,01KCPY7F17MV2FSHSDFHB03DA7,2025-12-17T20:12:17.115772239Z,1,2025-12-17T20:12:18.084349573Z
01KCPZ36MJ1FHNM7NKV3AXK4ZX,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:12:47.122832154Z,University of Leeds,2025-12-17T20:12:52.15783941Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:12:47.122832154Z,01KCPXZSMG8SS874KBVCZ25T5W,2025-12-17T20:12:47.122832154Z,01KCPY7F190XFCT173WJ65SWQT,2025-12-17T20:12:47.122832154Z,1,2025-12-17T20:12:52.159170912Z
01KCPYF5ZYMRMXKJNDEB52XEEM,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:01:51.102506322Z,University of Leeds,2025-12-17T20:01:57.541133437Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:01:51.102506322Z,01KCPXZTS69VQB2RMCW0Y8MX7F,2025-12-17T20:01:51.102506322Z,01KCPY7F1152ZDK0QS1RP09MYA,2025-12-17T20:01:51.102506322Z,1,2025-12-17T20:01:57.542202736Z
01KCPYGWR5RF7WY6H47N7CQ3Z9,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:02:47.173964541Z,University of Leeds,2025-12-17T20:02:49.954667824Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:02:47.173964541Z,01KCPXZTS69VQB2RMCW0Y8MX7F,2025-12-17T20:02:47.173964541Z,01KCPY7F10VVTKBVPEWN3ZJNV1,2025-12-17T20:02:47.173964541Z,1,2025-12-17T20:02:49.955587678Z
01KCPYJ1FEYEYWHHAWSQMTXZW1,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:03:24.782744963Z,University of Leeds,2025-12-17T20:03:35.183157626Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:03:24.782744963Z,01KCPY4G5PSR4GZVXYDMAG8SYF,2025-12-17T20:03:24.782744963Z,01KCPY7F1152ZDK0QS27S3XQ02,2025-12-17T20:03:24.782744963Z,1,2025-12-17T20:03:35.203501192Z
01KCPYP864KGXB9172VRH39V7K,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:05:42.724986491Z,University of Leeds,2025-12-17T20:05:58.336447442Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:05:42.724986491Z,01KCPXYXA2EY5ZCFTPXEBTTE8G,2025-12-17T20:05:42.724986491Z,01KCPY7F15P1J8HFMXSMM6CYFW,2025-12-17T20:05:42.724986491Z,1,2025-12-17T20:05:58.376644151Z
01KCPYXE4BJGN74NH4GHXFSN98,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:09:38.187529394Z,University of Leeds,2025-12-17T20:09:39.850610717Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:09:38.187529394Z,01KCPY047ZK869J5R8RWVJE2Z0,2025-12-17T20:09:38.187529394Z,01KCPY7F1KPBT8QXA793RCKSAA,2025-12-17T20:09:38.187529394Z,1,2025-12-17T20:09:39.852143029Z
01KCPYWQZ96HKC1V09HSPA3K6Q,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:09:15.497897605Z,University of Leeds,2025-12-17T20:09:26.012766587Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:09:15.497897605Z,01KCPY20QCGA9NB263TN394XP6,2025-12-17T20:09:15.497897605Z,01KCPY7F16FFBYADTQNGXEMFBA,2025-12-17T20:09:15.497897605Z,1,2025-12-17T20:09:26.022177604Z
01KCPY9CJK7HVADRVCK4HVGXT0,01KCPXWMAGGV393451K75FMFKG,2025-12-17T19:58:41.23592206Z,University of Nottingham,2025-12-17T19:58:44.6075635Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T19:58:41.23592206Z,01KCPY4G5PSR4GZVXYDMAG8SYF,2025-12-17T19:58:41.23592206Z,01KCPY7F0NJHM83E91KX6V7J36,2025-12-17T19:58:41.23592206Z,1,2025-12-17T19:58:44.620999603Z
01KCPYB7BWH4YZ8D9ZVVEM414J,01KCPXWMAGGV393451K75FMFKG,2025-12-17T19:59:41.436994403Z,Trinity College Dublin,2025-12-17T19:59:53.462967316Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T19:59:41.436994403Z,01KCPXYWW43PVTMG9XJ3XZCXKA,2025-12-17T19:59:41.436994403Z,01KCPY7F0PM1746JAD5W23SMH3,2025-12-17T19:59:41.436994403Z,1,2025-12-17T19:59:53.461643007Z
01KCPYB7C1AFAQPM47WGGGP3B1,01KCPXWMAGGV393451K75FMFKG,2025-12-17T19:59:41.441679597Z,Trinity College Dublin,2025-12-17T20:00:00.86882463Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T19:59:41.441679597Z,01KCPY6KSCFSR04EWGHZWGW1VR,2025-12-17T19:59:41.441679597Z,01KCPY7F0PM1746JAD5W23SMH3,2025-12-17T19:59:41.441679597Z,0,2025-12-17T20:00:00.879085848Z
01KCPYMB29J68QRJDXF2GEPESQ,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:04:40.138069836Z,University of Leeds,2025-12-17T20:04:44.39436497Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:04:40.138069836Z,01KCPXZK6N8JT9VTZG3RX4M6AD,2025-12-17T20:04:40.138069836Z,01KCPY7F13TMT10SPS4EZPZB4F,2025-12-17T20:04:40.138069836Z,1,2025-12-17T20:04:44.395588534Z
01KCPYMWJNXP1PA5SR0QTWPB08,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:04:58.06907446Z,University of Leeds,2025-12-17T20:04:59.047956514Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:04:58.06907446Z,01KCPXYXA2EY5ZCFTPXEBTTE8G,2025-12-17T20:04:58.06907446Z,01KCPY7F0SNTCTY0PC231BJES2,2025-12-17T20:04:58.06907446Z,1,2025-12-17T20:04:59.053656412Z
01KCPYCMW54JR75T2NS8RFC66G,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:00:28.038020954Z,University of Southampton,2025-12-17T20:00:35.429260348Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:00:28.038020954Z,01KCPXYWW43PVTMG9XJ3XZCXKA,2025-12-17T20:00:28.038020954Z,01KCPY7F0PM1746JAD6D4SEH8Z,2025-12-17T20:00:28.038020954Z,1,2025-12-17T20:00:35.431034784Z
01KCPYJN69Q0EK1SDZS156879H,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:03:44.969628024Z,Trinity College Dublin,2025-12-17T20:03:49.770543208Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:03:44.969628024Z,01KCPXZK6N8JT9VTZG3RX4M6AD,2025-12-17T20:03:44.969628024Z,01KCPY7F17MV2FSHSDD6BNC9J1,2025-12-17T20:03:44.969628024Z,1,2025-12-17T20:03:49.77363327Z
01KCPZ57B5GNZTCQP9V6BG6N55,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:13:53.381336085Z,University of Leeds,2025-12-17T20:13:54.938135676Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:13:53.381336085Z,01KCPXYXA2EY5ZCFTPXEBTTE8G,2025-12-17T20:13:53.381336085Z,01KCPY7F1BWVA6WNYC8RQZSPB0,2025-12-17T20:13:53.381336085Z,0,2025-12-17T20:13:54.942197277Z
01KCPZ5T11K2NM5DF6HS78X0FF,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:14:12.513848836Z,University of Leeds,2025-12-17T20:14:25.32384463Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:14:12.513848836Z,01KCPY6KSCFSR04EWGHZWGW1VR,2025-12-17T20:14:12.513848836Z,01KCPY7F1EJQBG95MNXGQPFQKF,2025-12-17T20:14:12.513848836Z,1,2025-12-17T20:14:25.329041388Z
01KCPYJ1FJMGK5V3ZRXK97A9AY,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:03:24.786484429Z,University of Leeds,2025-12-17T20:03:32.487119566Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:03:24.786484429Z,01KCPXYXA2EY5ZCFTPXEBTTE8G,2025-12-17T20:03:24.786484429Z,01KCPY7F1152ZDK0QS27S3XQ02,2025-12-17T20:03:24.786484429Z,1,2025-12-17T20:03:32.494723767Z
01KCPYVBMAWXVSQKM2AWT26KZ5,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:08:30.090069906Z,University of Leeds,2025-12-17T20:08:36.624503268Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:08:30.090069906Z,01KCPXZK6N8JT9VTZG3RX4M6AD,2025-12-17T20:08:30.090069906Z,01KCPY7F1BWVA6WNYC98DZ114N,2025-12-17T20:08:30.090069906Z,1,2025-12-17T20:08:36.63547461Z
01KCPYVRXTT9Q4J1X48KEDG3WH,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:08:43.707018797Z,University of Leeds,2025-12-17T20:08:55.932471504Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:08:43.707018797Z,01KCPY20QCGA9NB263TN394XP6,2025-12-17T20:08:43.707018797Z,01KCPY7F1ACVWT0VQ0AS3T2ENM,2025-12-17T20:08:43.707018797Z,0,2025-12-17T20:08:55.934076359Z
01KCPYZJATD5B2QS52K0DTXQES,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:10:48.026631198Z,Trinity College Dublin,2025-12-17T20:10:56.014221814Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:10:48.026631198Z,01KCPXYWW43PVTMG9XJ3XZCXKA,2025-12-17T20:10:48.026631198Z,01KCPY7F1HCZD15SKK0PZES5S5,2025-12-17T20:10:48.026631198Z,1,2025-12-17T20:10:56.020084218Z
01KCPZ02N65M1NAB18DWTE7TG4,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:11:04.742491337Z,University of Leeds,2025-12-17T20:11:12.762468517Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:11:04.742491337Z,01KCPY20QCGA9NB263TN394XP6,2025-12-17T20:11:04.742491337Z,01KCPY7F1DE0V19SMWZXFHHCPJ,2025-12-17T20:11:04.742491337Z,1,2025-12-17T20:11:12.766462541Z
01KCPYPQHX7AM0T16GH9MM69CQ,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:05:58.461149156Z,University of Leeds,2025-12-17T20:06:10.190348877Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:05:58.461149156Z,01KCPXZTS69VQB2RMCW0Y8MX7F,2025-12-17T20:05:58.461149156Z,01KCPY7F17MV2FSHSDEVGA1D10,2025-12-17T20:05:58.461149156Z,1,2025-12-17T20:06:10.193465329Z
01KCPYWQZCE47TFZJDD6K737ZJ,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:09:15.500711789Z,University of Leeds,2025-12-17T20:09:38.097586678Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:09:15.500711789Z,01KCPXZK6N8JT9VTZG3RX4M6AD,2025-12-17T20:09:15.500711789Z,01KCPY7F16FFBYADTQNGXEMFBA,2025-12-17T20:09:15.500711789Z,1,2025-12-17T20:09:38.095749382Z
01KCPYGWR6QVHCW78C87HR5RJK,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:02:47.174306018Z,University of Leeds,2025-12-17T20:03:05.629994353Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:02:47.174306018Z,01KCPY6KSCFSR04EWGHZWGW1VR,2025-12-17T20:02:47.174306018Z,01KCPY7F10VVTKBVPEWN3ZJNV1,2025-12-17T20:02:47.174306018Z,0,2025-12-17T20:03:05.632096348Z
01KCPZ5T10CGKZZGWF13QCN1ZM,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:14:12.512919438Z,University of Leeds,2025-12-17T20:14:15.760861623Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:14:12.512919438Z,01KCPY4G5PSR4GZVXYDMAG8SYF,2025-12-17T20:14:12.512919438Z,01KCPY7F1EJQBG95MNXGQPFQKF,2025-12-17T20:14:12.512919438Z,1,2025-12-17T20:14:15.763910181Z
01KCPZ44M90PGS6N1KST7D704X,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:13:17.833041231Z,University of Leeds,2025-12-17T20:13:21.827378461Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:13:17.833041231Z,01KCPY4G5PSR4GZVXYDMAG8SYF,2025-12-17T20:13:17.833041231Z,01KCPY7F1ACVWT0VQ0ABB1WZ56,2025-12-17T20:13:17.833041231Z,1,2025-12-17T20:13:21.843078907Z
01KCPYKDNCG0BV0FCKW29A87MF,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:04:10.028898481Z,University of Leeds,2025-12-17T20:04:12.747334474Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:04:10.028898481Z,01KCPXZSMG8SS874KBVCZ25T5W,2025-12-17T20:04:10.028898481Z,01KCPY7F12C23FEPJANNFCSKZS,2025-12-17T20:04:10.028898481Z,1,2025-12-17T20:04:12.744150361Z
01KCPYPQHX7AM0T16GHKSC2VFJ,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:05:58.462053038Z,University of Leeds,2025-12-17T20:06:00.360918646Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:05:58.462053038Z,01KCPY047ZK869J5R8RWVJE2Z0,2025-12-17T20:05:58.462053038Z,01KCPY7F17MV2FSHSDEVGA1D10,2025-12-17T20:05:58.462053038Z,1,2025-12-17T20:06:00.35956779Z
01KCPYYXQY9JFRQYBNDSNJ3DDM,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:10:26.942665662Z,University of Glasgow,2025-12-17T20:10:40.211784653Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:10:26.942665662Z,01KCPXZK6N8JT9VTZG3RX4M6AD,2025-12-17T20:10:26.942665662Z,01KCPY7F1JDRKVR6BNKDMD228B,2025-12-17T20:10:26.942665662Z,1,2025-12-17T20:10:40.213693705Z
01KCPZ1QNFNS03YZX9CJSJKFE1,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:11:59.023718598Z,University of Leeds,2025-12-17T20:11:59.742314053Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:11:59.023718598Z,01KCPXZTS69VQB2RMCW0Y8MX7F,2025-12-17T20:11:59.023718598Z,01KCPY7F1HCZD15SKK191F63X9,2025-12-17T20:11:59.023718598Z,1,2025-12-17T20:11:59.743945416Z
01KCPZ3QMYK2YKZ6ENE6VTNJMN,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:13:04.542229956Z,University of Leeds,2025-12-17T20:13:12.465632544Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:13:04.542229956Z,01KCPY6KSCFSR04EWGHZWGW1VR,2025-12-17T20:13:04.542229956Z,01KCPY7F190XFCT173VB7YZZ2K,2025-12-17T20:13:04.542229956Z,1,2025-12-17T20:13:12.469865683Z
01KCPYDZH52KC0H4AM8NJ448SB,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:01:11.717724937Z,University of Adelaide,2025-12-17T20:01:18.710470108Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:01:11.717724937Z,01KCPXZTS69VQB2RMCW0Y8MX7F,2025-12-17T20:01:11.717724937Z,01KCPY7F13TMT10SPS3WNWZ6D3,2025-12-17T20:01:11.717724937Z,0,2025-12-17T20:01:18.712162092Z
01KCPYGWR4BJZZ9AN32402VBCZ,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:02:47.172155167Z,University of Leeds,2025-12-17T20:02:51.435025104Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:02:47.172155167Z,01KCPXYWW43PVTMG9XJ3XZCXKA,2025-12-17T20:02:47.172155167Z,01KCPY7F10VVTKBVPEWN3ZJNV1,2025-12-17T20:02:47.172155167Z,1,2025-12-17T20:02:51.433306055Z
01KCPYK1TJGPAQNX7DY9FX8M5T,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:03:57.906126849Z,University of Leeds,2025-12-17T20:04:00.398398382Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:03:57.906126849Z,01KCPXZTS69VQB2RMCW0Y8MX7F,2025-12-17T20:03:57.906126849Z,01KCPY7F12C23FEPJAMFGXVRRZ,2025-12-17T20:03:57.906126849Z,1,2025-12-17T20:04:00.397308253Z
01KCPYKX0TFETN717ECRK6E84M,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:04:25.754342386Z,University of Leeds,2025-12-17T20:04:31.498512374Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:04:25.754342386Z,01KCPXYWW43PVTMG9XJ3XZCXKA,2025-12-17T20:04:25.754342386Z,01KCPY7F13TMT10SPS3CDA5M0R,2025-12-17T20:04:25.754342386Z,1,2025-12-17T20:04:31.502789549Z
01KCPZ13JXGC3FQW2XB5CAQSNT,01KCPXWMAGGV393451K75FMFKG,2025-12-17T20:11:38.46123257Z,Trinity College Dublin,2025-12-17T20:11:58.896450679Z,01KCPXWMB8GF3CFTRP5FNA385N,2025-12-17T20:11:38.46123257Z,01KCPXZK6N8JT9VTZG3RX4M6AD,2025-12-17T20:11:38.46123257Z,01KCPY7F1JDRKVR6BNM5D5D66E,2025-12-17T20:11:38.46123257Z,1,2025-12-17T20:11:58.900604171Z
