Round,Average Entropy
1,0.0
2,0.3
3,0.4088220835496802
4,0.43112781244591325
5,0.46638292837967
6,0.496240625180289
7,0.47635446983961244
8,0.48600730651545315
9,0.5260711124306252
10,0.5945120183027391
11,0.6799006295892773
12,0.7623030901913519
13,0.8683843518329534
14,0.925315401165262
15,0.9823099754337641
16,0.989628624829925
17,1.0027951932297074
18,1.0110455361884287
19,1.0503009572041904
20,1.0917164028252
21,1.1156354609893377
22,1.1371600455960476
23,1.1311385638965405
24,1.1582968845188846
25,1.2244872726784712
26,1.2733772921927151
27,1.3250585803634043
28,1.3676182171084654
29,1.3865966979669029
30,1.406836566937524
31,1.4220694482092084
32,1.427803977415504
33,1.4723006483438563
34,1.497460941334553
35,1.5179160673362584
36,1.5264383912001644
37,1.5345395056620543
38,1.5392829227749514
39,1.536456971670324
40,1.5352986071986432
41,1.536378446962026
42,1.5358357856937521
43,1.5246920523844105
44,1.521221214007093
45,1.535092783236847
46,1.5418944303295117
47,1.5559552492813362
48,1.5612676879386003
49,1.5623573726773416
50,1.56361520375583
51,1.5627467703848523
