Round,Overall Entropy
1,3.321928094887362
2,3.221928094887362
3,3.1559130951758245
4,3.0879719339800813
5,3.097613614350892
6,3.0964272437028395
7,3.0587730602371446
8,3.0282775049588464
9,3.023099981310558
10,3.041678984708294
11,3.045646590666122
12,3.0583093342336216
13,3.0958067326596024
14,3.095247605655832
15,3.1292435362604527
16,3.139535156781153
17,3.1510378026335104
18,3.15847594525834
19,3.158732409816566
20,3.1685560293398867
21,3.1662432344689164
22,3.167757827784664
23,3.1709935079422777
24,3.1616006480648373
25,3.1793255903661555
26,3.1739197321881516
27,3.170177178793384
28,3.1757290202579926
29,3.1837958806242974
30,3.1889124332214496
31,3.1934188909253765
32,3.198309909447169
33,3.2114801088265725
34,3.2130778750396845
35,3.2088872402272726
36,3.2081111278355157
37,3.209121719768726
38,3.2076339120399897
39,3.2057909272311194
40,3.20388822463478
41,3.206132478658532
42,3.2061126115481975
43,3.2042283158598863
44,3.203710438268763
45,3.198952247287802
46,3.193945397109215
47,3.1912154368743884
48,3.187177375400886
49,3.1828406634114437
50,3.1783289672052364
51,3.1738367629096182
