id,Sky Blue,Slate,Purple,Indigo,Amber,Crimson,Pink,Black,Bright Green,Orange,entropy
01JVTR9QD0KS2SPX7QDY0N8AX9,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01JVTRAF0HXMZCY9NBDR1R33B5,10.0,0.0,30.0,0.0,50.0,0.0,0.0,0.0,10.0,0.0,1.6854752972273344
01JVTRAJAADTMDBY98SF5BTZYA,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01JVTRAV3J92CQV9NS03SPXKSA,1.0,0.0,99.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16012925118861307
01JVTRE4R10CMZ58FNZBA0F8SK,10.0,30.0,10.0,10.0,0.0,10.0,10.0,10.0,0.0,10.0,2.8464393446710154
01JVTRHRM8FSZ0DF5N0TYB06YD,5.0,50.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,10.0,2.560964047443681
01JVTRJ3HRK6JKTBT2Y7JNDGFQ,5.0,5.0,15.0,5.0,10.0,5.0,15.0,30.0,5.0,5.0,2.970950594454669
01JVTRA85X3DQ0TYNXS6VDR197,0.0,23.0,8.0,0.0,16.0,0.0,0.0,0.0,41.0,12.0,2.0966451179016588
01JVTRC4KZKV9QDS72D4E9B4N9,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
01JVTRCE9Y9SR72Y626JN9Z02V,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
average,13.1,10.8,26.7,12.0,8.1,2.0,13.1,4.5,6.1,3.7,1.2320603652886972
