id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01KCQ0QGH4M6682F9HW8P6BN39,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Standard-communication"",""desc"":""50-rounds 10-player Game with communication"",""factors"":{""chatEnabled"":true,""numRounds"":50,""playerCount"":10,""type"":""communication""}},""count"":1}]}}",2025-12-17T20:41:21.188492052Z,,,true,2025-12-17T20:41:21.212180012Z,"{""name"":""Long shared fail"",""kind"":""shared"",""duration"":600000000000,""strategy"":""fail""}",2025-12-17T20:41:21.188492052Z,terminated,2025-12-17T20:42:15.365394382Z
01KCQ0S7FFWZXT535PW6MTNP4G,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Standard-communication"",""desc"":""50-rounds 10-player Game with communication"",""factors"":{""chatEnabled"":true,""numRounds"":50,""playerCount"":10,""type"":""communication""}},""count"":1}]}}",2025-12-17T20:42:17.455824853Z,all games finished,2025-12-17T21:02:12.866450665Z,true,2025-12-17T20:42:17.469115183Z,"{""name"":""Long shared fail"",""kind"":""shared"",""duration"":600000000000,""strategy"":""fail""}",2025-12-17T20:42:17.455824853Z,ended,2025-12-17T21:02:12.866450665Z
