Round,Overall Entropy
1,3.169925001442312
2,3.03856233607563
3,2.633761927843402
4,2.580341545092638
5,2.367066776611146
6,2.159893078730068
7,2.04363154821248
8,1.9825232051494621
9,1.9695304763272485
10,1.927501146623292
11,1.941681306903585
12,1.9526301812501126
13,1.944255871088325
14,1.926040235771616
15,1.9079327424798513
16,1.884443649154984
17,1.8581382032636116
18,1.833066889121462
19,1.8057702297057379
20,1.7772628169035534
21,1.748325022501151
22,1.7179498512677205
23,1.6870716017001943
24,1.6561466748076867
25,1.6283097319588413
26,1.5984241738701972
27,1.5691089382760182
28,1.5404646760912653
29,1.5197855075989548
30,1.500153886584131
31,1.4743373856836741
32,1.4600649090245912
33,1.44313031922082
34,1.4195153808712895
35,1.4067828727819458
36,1.4067152082804646
37,1.3885890388834758
38,1.399114188651173
39,1.381772746225567
40,1.3705616785268764
41,1.3504676609552884
42,1.3309462224017041
43,1.319844028350671
44,1.3091715770451942
45,1.295136136160181
46,1.2853168461623405
47,1.2721793988741388
48,1.2594700540304096
49,1.2523685351834952
50,1.2490095558782364
51,1.2468925952249725
