Round,Average Entropy
1,0.0
2,0.8
3,1.0931329173157072
4,1.45
5,1.5346375353553567
6,1.4968922921354182
7,1.459682556917753
8,1.4338459047282621
9,1.4327708220990492
10,1.4308379395286153
11,1.492604820044891
12,1.5354404136272983
13,1.561479001269928
14,1.5548978589961644
15,1.5468411766838979
16,1.5283904443064515
17,1.5041296840385567
18,1.4789506421912582
19,1.4774278985052096
20,1.4628879185010124
21,1.4436376092454124
22,1.4381357188108927
23,1.4269558376399654
24,1.4124183747463293
25,1.4036274179021666
26,1.3856744379798864
27,1.3669057494102155
28,1.3476840443363762
29,1.331222692674467
30,1.3142432744850603
31,1.2961747306381213
32,1.2841803068946627
33,1.2681835744198517
34,1.2512379603037875
35,1.2389720438309955
36,1.2388493906326026
37,1.2199132326015394
38,1.229222009968589
39,1.2180647866404366
40,1.2114560231822535
41,1.196314346862441
42,1.1814203760132416
43,1.1691184996359931
44,1.1570571437136599
45,1.1467285205186863
46,1.1397736930883768
47,1.129365943422964
48,1.1189609065868404
49,1.1091855857148682
50,1.1026678724373329
51,1.0981194968801857
