age,gender,genderOther,race,raceOther,education,educationOther,country,politicalOrientation,experience,engagement,clearity,interference,interferenceOption,keyFactors,strategy,motivation,followUp,additionalFeedback,experienceDetails,familiarityUniversities,employmentStatus,employmentStatusOther,hiringInvolved,hiringExperienceYears,playerID
49,Female,,Caucasian,,Some College,,USA,Slightly Liberal,No,Moderately Engaging,Clear,,No,"I probably should have spread them around a bit more but I was trying to see how good the ""good"" universities really were. ","I tried to find the universities with the least ""negative"" results.",It sounded interesting.,Yes,"I'm curious to find out how I did, I found two ""good"" universities and stuck with them rather than spreading the 100 around more. ",,"['University of Adelaide', 'University of Leeds']",Employed full-time,,No,,01KCN4HWS1J577PATHMA1BCEND
62,Female,,African,,Some College,,United States,Extremely Liberal,No,Engaging,Very Clear,,No,The University I clicked on kept giving me positive results,once i found a university that gave me the desired results I stuck with it.,It was on my dashboard and I had nothing to do,Yes,No,,['None of the above'],Other,retired,Yes,7+ years,01KCN4JT7JV9834K2EFGWDC56Q
42,Female,,Caucasian,,College,,USA,Moderately Liberal,No,Slightly Engaging,Slightly Clear,,No,I tried to stick with the school that had the best results.,I selected a different one at first until I determined which school had better results.,It seemed more interesting than pages of bubbles and seemed to pay well.,Yes,,,['None of the above'],Employed full-time,,No,,01KCN4FWJ9YH6T0DSBYDZQ8RR3
42,Male,,Caucasian,,College,,United States,Extremely Conservative,No,Very Engaging,Very Clear,,No,The biggest thing for me was that Trinity College Dublin seemed to almost always put out a good student. I found their reliability to be a huge factor.,"I experimented and made mental notes about which school performed best. Once I found the school that performed very well, I stuck with it.","I saw that it was posted, and I thought it would be interesting.",Yes,,,['None of the above'],Employed full-time,,Yes,1–3 years,01KCN4GRHWYRKP6558VW4GSXGB
51,Female,,Caucasian,,College,,United States of America,Extremely Liberal,No,Engaging,Very Clear,,No,The success rate was the most influential.,"I selected based on the success. If it failed, I moved on. I did go back to Leeds, and have to say it paid off. ",To help researchers and science. Also the pay was nice and bonus opportunity is a nice incentive. ,Yes,"I caught the first experiment, but it never loaded. So I was glad to catch this one when it posted again!",,"['University of Glasgow', 'University of Leeds', 'University of Southampton']",Self-employed,,No,,01KCN4HE2ANKWMREVC4WX9RFZE
68,Female,,Caucasian,,College,,United States ,Slightly Conservative,No,Very Engaging,Very Clear,,No,How many successes I could accumulate.,I stuck with the school that had the least number of failures.,I wanted to get as many successes as possible.,Yes,,,['None of the above'],Other,retired,Yes,1–3 years,01KCN4HSEQ1MP50XZYEJHKAWFK
26,Female,,Asian,,College,,USA,Moderately Liberal,No,Moderately Engaging,Clear,,No,I tried a few universities until one performed well. I started off with the university that was most familiar to me.,"Once I found a university that yielded good results, I stuck with it. However, I realized I should have branched out more to find out the success/failure rate for more universities.",I was interested in the decision making aspect and the ability to earn a bonus.,Yes,,,"['Trinity College Dublin', 'The University of Western Australia', 'University of Glasgow', 'University of Adelaide', 'University of Leeds', 'University of Southampton', 'University of Sheffield', 'University of Nottingham']",Employed full-time,,Yes,Less than 1 year,01KCN4K206D9A6GVSR40776MS7
