id,batchID,batchIDLastChangedAt,chatEnabled,chatEnabledLastChangedAt,ended,endedLastChangedAt,flag,flagLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,isTutorial,isTutorialLastChangedAt,name,nameLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt
01KCN4Q4451FZ14ACESG0WG35A,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.92568886Z,false,2025-12-17T03:12:33.92568886Z,true,2025-12-17T03:26:02.698504646Z,true,2025-12-17T03:12:33.92568886Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.92568886Z,49,2025-12-17T03:12:33.92568886Z,false,2025-12-17T03:12:33.92568886Z,Non-Communication Round 48,2025-12-17T03:12:33.92568886Z,1,2025-12-17T03:12:34.519734879Z,true,2025-12-17T03:25:48.593043741Z
01KCN4Q42H6FCNX2VESTDR726E,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.873636274Z,false,2025-12-17T03:12:33.873636274Z,true,2025-12-17T03:15:09.207822506Z,true,2025-12-17T03:12:33.873636274Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.873636274Z,3,2025-12-17T03:12:33.873636274Z,false,2025-12-17T03:12:33.873636274Z,Non-Communication Round 2,2025-12-17T03:12:33.873636274Z,1,2025-12-17T03:12:34.011897414Z,true,2025-12-17T03:14:57.844541506Z
01KCN4Q42T4GGM6CGG1F1ZK4J1,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.882580195Z,false,2025-12-17T03:12:33.882580195Z,true,2025-12-17T03:15:46.908715927Z,true,2025-12-17T03:12:33.882580195Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.882580195Z,6,2025-12-17T03:12:33.882580195Z,false,2025-12-17T03:12:33.882580195Z,Non-Communication Round 5,2025-12-17T03:12:33.882580195Z,1,2025-12-17T03:12:34.040179682Z,true,2025-12-17T03:15:35.836517591Z
01KCN4Q43AK77REMDNA1TVYHZK,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.89804606Z,false,2025-12-17T03:12:33.89804606Z,true,2025-12-17T03:21:13.966900606Z,true,2025-12-17T03:12:33.89804606Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.89804606Z,27,2025-12-17T03:12:33.89804606Z,false,2025-12-17T03:12:33.89804606Z,Non-Communication Round 26,2025-12-17T03:12:33.89804606Z,1,2025-12-17T03:12:34.262569382Z,true,2025-12-17T03:21:01.499754501Z
01KCN4Q43NJP1T3433C4ZNQCKR,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.909955417Z,false,2025-12-17T03:12:33.909955417Z,true,2025-12-17T03:23:42.445141016Z,true,2025-12-17T03:12:33.909955417Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.909955417Z,38,2025-12-17T03:12:33.909955417Z,false,2025-12-17T03:12:33.909955417Z,Non-Communication Round 37,2025-12-17T03:12:33.909955417Z,1,2025-12-17T03:12:34.387416289Z,true,2025-12-17T03:23:25.121961807Z
01KCN4Q43RDAWDQ4N2XHQNAG3M,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.912125906Z,false,2025-12-17T03:12:33.912125906Z,true,2025-12-17T03:24:49.024479789Z,true,2025-12-17T03:12:33.912125906Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.912125906Z,43,2025-12-17T03:12:33.912125906Z,false,2025-12-17T03:12:33.912125906Z,Non-Communication Round 42,2025-12-17T03:12:33.912125906Z,1,2025-12-17T03:12:34.457941328Z,true,2025-12-17T03:24:35.315115127Z
01KCN4Q42SDXWR5FBPHWH6XP79,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.881403257Z,false,2025-12-17T03:12:33.881403257Z,true,2025-12-17T03:15:23.631123054Z,true,2025-12-17T03:12:33.881403257Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.881403257Z,4,2025-12-17T03:12:33.881403257Z,false,2025-12-17T03:12:33.881403257Z,Non-Communication Round 3,2025-12-17T03:12:33.881403257Z,1,2025-12-17T03:12:34.021628084Z,true,2025-12-17T03:15:09.227009335Z
01KCN4Q431JTZ20QTK8ABDEKEZ,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.890012006Z,false,2025-12-17T03:12:33.890012006Z,true,2025-12-17T03:18:58.428164871Z,true,2025-12-17T03:12:33.890012006Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.890012006Z,19,2025-12-17T03:12:33.890012006Z,false,2025-12-17T03:12:33.890012006Z,Non-Communication Round 18,2025-12-17T03:12:33.890012006Z,1,2025-12-17T03:12:34.174574872Z,true,2025-12-17T03:18:44.004821765Z
01KCN4Q432MRA2MMZQ1CSGC9Q7,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.890257814Z,false,2025-12-17T03:12:33.890257814Z,true,2025-12-17T03:19:10.350921323Z,true,2025-12-17T03:12:33.890257814Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.890257814Z,20,2025-12-17T03:12:33.890257814Z,false,2025-12-17T03:12:33.890257814Z,Non-Communication Round 19,2025-12-17T03:12:33.890257814Z,1,2025-12-17T03:12:34.183855615Z,true,2025-12-17T03:18:58.456344954Z
01KCN4Q4396P6VM0D9ANR3GG4W,01KCN4AGMMJJK6NGAHPWZZJ9W5,2025-12-17T03:12:33.897168915Z,false,2025-12-17T03:12:33.897168915Z,true,2025-12-17T03:20:50.448774763Z,true,2025-12-17T03:12:33.897168915Z,01KCN4AGN7NX3D10B0ZZSHQ5Y8,2025-12-17T03:12:33.897168915Z,25,2025-12-17T03:12:33.897168915Z,false,2025-12-17T03:12:33.897168915Z,Non-Communication Round 24,2025-12-17T03:12:33.897168915Z,1,2025-12-17T03:12:34.241288301Z,true,2025-12-17T03:20:32.430365454Z
