Round,Average Entropy
1,0.0
2,0.7
3,1.1428070838381426
4,1.370751874963942
5,1.5946375353553566
6,1.8125835938611055
7,2.0622871679264767
8,2.209076891828776
9,2.3528238901388927
10,2.4672189937247477
11,2.446648685082296
12,2.465575074599514
13,2.441995072543574
14,2.4089760920762524
15,2.3706538642617727
16,2.3217604255969007
17,2.2910557379115346
18,2.2683594388468307
19,2.2552874690390157
20,2.2620124193775917
21,2.2567518986031483
22,2.2461117052449744
23,2.197267898267721
24,2.1742776095380547
25,2.139773854939256
26,2.110592534689845
27,2.1031305205567157
28,2.097707272858976
29,2.0730363778909204
30,2.0531354576183767
31,2.024935688376252
32,1.9908300809902464
33,1.9573935456380223
34,1.925569156341864
35,1.9013978087422554
36,1.8802255112634991
37,1.8551769710832822
38,1.8326350715708084
39,1.8220498089350492
40,1.8038691599782788
41,1.7814873824866386
42,1.7592850084242788
43,1.737330987648802
44,1.7306584061200687
45,1.7192997539373533
46,1.7123017549377888
47,1.712191615886835
48,1.7061575390674313
49,1.6991524153237514
50,1.6902903047430347
51,1.6872664527875032
