id,batchID,batchIDLastChangedAt,decision,decisionLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,score,scoreLastChangedAt
01JVWB5AJE2XSGM7PQQ5ARCADK,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:53:00.750444277Z,Amber,2025-05-22T15:53:14.261705461Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:53:00.750444277Z,01JVWABHQK8MST7R4WYM2EN0FD,2025-05-22T15:53:00.750444277Z,01JVWAMM0381K4X5FJKBQJYGTT,2025-05-22T15:53:00.750444277Z,0,2025-05-22T15:53:14.26443571Z
01JVWB6Q581836RF4HE0AACEJ2,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:53:46.408358416Z,Purple,2025-05-22T15:54:14.548703576Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:53:46.408358416Z,01JVWAD35AX1AZFNQV7TBYGCN2,2025-05-22T15:53:46.408358416Z,01JVWAMM0381K4X5FJJR0SK78P,2025-05-22T15:53:46.408358416Z,1,2025-05-22T15:54:14.556798119Z
01JVWB87CRS040M1628SMFX79F,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:54:35.80019989Z,Purple,2025-05-22T15:54:37.566881358Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:54:35.80019989Z,01JVWAD35AX1AZFNQV7TBYGCN2,2025-05-22T15:54:35.80019989Z,01JVWAMM026S2SR6Z6WVH2EF8N,2025-05-22T15:54:35.80019989Z,1,2025-05-22T15:54:37.570835342Z
01JVWAR0XBXTGT4Z5E9PJBFN7V,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:45:44.875877654Z,Bright Green,2025-05-22T15:45:50.933721795Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:45:44.875877654Z,01JVWAF5QB4JSPQERTVS3A96TW,2025-05-22T15:45:44.875877654Z,01JVWAMKZDZ5HT1M168J9QKKQ8,2025-05-22T15:45:44.875877654Z,1,2025-05-22T15:45:50.935602984Z
01JVWAS9AZQGWAWJMQ8XZ0G8J2,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:46:26.271530926Z,Bright Green,2025-05-22T15:46:37.537307006Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:46:26.271530926Z,01JVWAMA8Z9VPZFP2M30N27BZV,2025-05-22T15:46:26.271530926Z,01JVWAMKZT3APWK0Z1AYY581M6,2025-05-22T15:46:26.271530926Z,1,2025-05-22T15:46:37.535009173Z
01JVWAX7VP5SAMMPA4F2GTFG7H,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:48:35.830959559Z,Bright Green,2025-05-22T15:48:42.463137826Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:48:35.830959559Z,01JVWAM7QEYFKF7DG28MSB8K00,2025-05-22T15:48:35.830959559Z,01JVWAMKZFA4HZE8TAVDVG32T6,2025-05-22T15:48:35.830959559Z,1,2025-05-22T15:48:42.46025011Z
01JVWB1P90JNN1DB7ZG0GMQ5JR,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:51:01.664083835Z,Purple,2025-05-22T15:51:15.601651642Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:51:01.664083835Z,01JVWAD35AX1AZFNQV7TBYGCN2,2025-05-22T15:51:01.664083835Z,01JVWAMKZS1RST6CYJN555G2JJ,2025-05-22T15:51:01.664083835Z,0,2025-05-22T15:51:15.509772297Z
01JVWB1P9860J0QK6W7H5APPJR,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:51:01.672294803Z,Bright Green,2025-05-22T15:51:03.257417417Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:51:01.672294803Z,01JVWAMA8Z9VPZFP2M30N27BZV,2025-05-22T15:51:01.672294803Z,01JVWAMKZS1RST6CYJN555G2JJ,2025-05-22T15:51:01.672294803Z,1,2025-05-22T15:51:03.25552162Z
01JVWB3WPW69836R1EVXZX95G6,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:52:13.788103838Z,Bright Green,2025-05-22T15:52:15.341289838Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:52:13.788103838Z,01JVWAGVB9T8J19FHSW5JR0TDD,2025-05-22T15:52:13.788103838Z,01JVWAMM05GF6350F1T80XN90A,2025-05-22T15:52:13.788103838Z,1,2025-05-22T15:52:15.351865821Z
01JVWAR0X9XABESAEPV388W0PJ,01JVWA8C75SBC7BPY0GPDA57E7,2025-05-22T15:45:44.873480281Z,Bright Green,2025-05-22T15:45:52.218647675Z,01JVWA8C86S313VBVEP34861GQ,2025-05-22T15:45:44.873480281Z,01JVWAD35AX1AZFNQV7TBYGCN2,2025-05-22T15:45:44.873480281Z,01JVWAMKZDZ5HT1M168J9QKKQ8,2025-05-22T15:45:44.873480281Z,1,2025-05-22T15:45:52.237948494Z
