participant_id,round,arm,choice,reward,own_success,own_failure,group_success,group_failure,prev_choice,prev_reward,condition
01JVWAAGYJKN322FY871XFT4P5,6,5,3,1.0,0,0,1,0,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,6,6,3,1.0,0,0,0,1,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,6,7,3,1.0,0,1,0,1,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,6,8,3,1.0,0,0,3,0,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,6,9,3,1.0,2,0,30,1,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,7,0,3,0.0,0,0,0,1,3,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,7,1,3,0.0,0,0,2,0,3,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,7,2,3,0.0,0,0,0,1,3,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,7,3,3,0.0,2,0,7,0,3,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,7,4,3,0.0,1,0,3,0,3,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,7,5,3,0.0,0,0,1,0,3,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,7,6,3,0.0,0,0,0,1,3,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,7,7,3,0.0,0,1,0,1,3,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,7,8,3,0.0,0,0,3,0,3,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,7,9,3,0.0,2,0,38,1,3,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,8,0,9,1.0,0,0,0,1,3,0.0,asocial
01JVWAAGYJKN322FY871XFT4P5,8,1,9,1.0,0,0,2,0,3,0.0,asocial
01JVWAAGYJKN322FY871XFT4P5,8,2,9,1.0,0,0,0,1,3,0.0,asocial
01JVWAAGYJKN322FY871XFT4P5,8,3,9,1.0,2,1,8,1,3,0.0,asocial
01JVWAAGYJKN322FY871XFT4P5,8,4,9,1.0,1,0,3,0,3,0.0,asocial
01JVWAAGYJKN322FY871XFT4P5,8,5,9,1.0,0,0,1,0,3,0.0,asocial
01JVWAAGYJKN322FY871XFT4P5,8,6,9,1.0,0,0,0,1,3,0.0,asocial
01JVWAAGYJKN322FY871XFT4P5,8,7,9,1.0,0,1,0,1,3,0.0,asocial
01JVWAAGYJKN322FY871XFT4P5,8,8,9,1.0,0,0,3,0,3,0.0,asocial
01JVWAAGYJKN322FY871XFT4P5,8,9,9,1.0,2,0,45,2,3,0.0,asocial
01JVWAAGYJKN322FY871XFT4P5,9,0,9,1.0,0,0,0,1,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,9,1,9,1.0,0,0,2,0,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,9,2,9,1.0,0,0,0,1,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,9,3,9,1.0,2,1,9,1,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,9,4,9,1.0,1,0,3,0,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,9,5,9,1.0,0,0,1,0,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,9,6,9,1.0,0,0,0,1,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,9,7,9,1.0,0,1,0,1,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,9,8,9,1.0,0,0,3,0,9,1.0,asocial
01JVWAAGYJKN322FY871XFT4P5,9,9,9,1.0,3,0,54,2,9,1.0,asocial
