id,Sky Blue,Slate,Purple,Indigo,Amber,Crimson,Pink,Black,Bright Green,Orange,entropy
01JVWABHQK8MST7R4WYM2EN0FD,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,80.0,0.0,0.7219280948873623
01JVWABK1CXR73ZPK044QZJAQG,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,1.0
01JVWAD4AE17N7FDMPDT5TBKSJ,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,80.0,0.0,0.9219280948873623
01JVWAFWW1QQM563BYZBSER1AH,20.0,0.0,0.0,20.0,0.0,10.0,20.0,0.0,20.0,10.0,2.5219280948873624
01JVWAGVB9T8J19FHSW5JR0TDD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
01JVWAM7QEYFKF7DG28MSB8K00,5.0,0.0,5.0,0.0,15.0,0.0,0.0,0.0,75.0,0.0,1.1540157730728
01JVWAAGYJKN322FY871XFT4P5,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,80.0,0.0,0.9219280948873623
01JVWAF5QB4JSPQERTVS3A96TW,45.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9927744539878084
01JVWAMA8Z9VPZFP2M30N27BZV,0.0,0.0,10.0,0.0,20.0,0.0,0.0,0.0,70.0,0.0,1.1567796494470395
01JVWAD35AX1AZFNQV7TBYGCN2,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
average,7.0,0.0,19.0,2.0,12.5,1.0,2.0,0.0,55.5,1.0,0.9391282256057096
