Round,Overall Entropy
1,3.169925001442312
2,3.197159723424149
3,3.1895296315527126
4,3.2261981000246154
5,3.2466183754483997
6,3.2539324119660447
7,3.214910385415022
8,3.212455811489091
9,3.2391546137732323
10,3.2341567011337835
11,3.2172272372598143
12,3.2103145410342737
13,3.1861204322536816
14,3.1748797287419115
15,3.1660463396494833
16,3.146279763159908
17,3.141869447558207
18,3.1203278745335266
19,3.1134596560727505
20,3.0932536051329738
21,3.076027151461367
22,3.050262113978843
23,3.0250137430530595
24,2.999203639973138
25,2.9808366780094113
26,2.957485493298354
27,2.939258254334018
28,2.928166111002272
29,2.9139924836695315
30,2.902083149951375
31,2.876695185406015
32,2.8668425237804303
33,2.863406435725143
34,2.8529096393283706
35,2.832400475820253
36,2.8098179512234007
37,2.8056675731058807
38,2.800829319816232
39,2.789178359768212
40,2.77441108241585
41,2.761328049087939
42,2.742571836835962
43,2.726443452050669
44,2.707946607915686
45,2.695235064334102
46,2.677685728999259
47,2.6657036399685055
48,2.655938751904707
49,2.646945091829409
50,2.638042708536479
51,2.6292455577722014
