id,config,configLastChangedAt,endedReason,endedReasonLastChangedAt,initialized,initializedLastChangedAt,lobbyConfig,lobbyConfigLastChangedAt,status,statusLastChangedAt
01KCN1YK50062DZCHFQ7A90JJ7,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Standard-non-communication"",""desc"":""50-rounds 10-player Game without communication"",""factors"":{""chatEnabled"":false,""numRounds"":50,""playerCount"":10,""type"":""non-communication""}},""count"":1}]}}",2025-12-17T02:24:12.960391649Z,all games finished,2025-12-17T02:57:59.691057915Z,true,2025-12-17T02:24:12.98250872Z,"{""name"":""Long shared fail"",""kind"":""shared"",""duration"":600000000000,""strategy"":""fail""}",2025-12-17T02:24:12.960391649Z,ended,2025-12-17T02:57:59.691057915Z
01KCN2DQFW2TWN9F8N1JHA5R9R,"{""kind"":""complete"",""config"":{""treatments"":[{""treatment"":{""name"":""Standard-non-communication"",""desc"":""50-rounds 10-player Game without communication"",""factors"":{""chatEnabled"":false,""numRounds"":50,""playerCount"":10,""type"":""non-communication""}},""count"":1}]}}",2025-12-17T02:32:28.924878768Z,,,true,2025-12-17T02:32:28.937426446Z,"{""name"":""Long shared fail"",""kind"":""shared"",""duration"":600000000000,""strategy"":""fail""}",2025-12-17T02:32:28.924878768Z,terminated,2025-12-17T02:40:03.406878031Z
