roundID,01KCN210JZ6W1K91WR21416PWE,01KCN23KYW0XS746YWWSHMC7CT,01KCN235WTY6Q7S3TGN7ZWCVPB,01KCN2769XMEXX7MZZ8110ZW15,01KCN278PT6W4WD6EE4HV9K8A9,01KCN236K1CT7SC1EANF05QVKA,01KCN26J8F6HCD0C0FACQQESYD,01KCN21SP6RE5QGR35D21ZK1K9,01KCN27WMVZR4D3WST6BYK4CWY,01KCN24FY7H297W6MWCQEBZ65E
01KCN29XD60N6A35NKW996JNM4,University of Nottingham,University of Leeds,Trinity College Dublin,University of Leeds,,University of Glasgow,Trinity College Dublin,University of Nottingham,University of Leeds,University of Leeds
01KCN29XD7S9VA43175PHF2SC6,University of Nottingham,University of Leeds,University of Leeds,University of Leeds,,University of Sheffield,Trinity College Dublin,University of Nottingham,University of Leeds,University of Leeds
01KCN29XD2JYB8DRMAW7AC9Y6S,University of Nottingham,University of Leeds,University of Leeds,University of Leeds,,University of Leeds,Trinity College Dublin,University of Nottingham,Trinity College Dublin,University of Leeds
01KCN29XD51TX7X950SRA2A13Q,University of Nottingham,University of Leeds,Trinity College Dublin,University of Leeds,University of Nottingham,Trinity College Dublin,Trinity College Dublin,University of Nottingham,University of Leeds,University of Leeds
01KCN29XD3PFBV3FJPAS3080W0,University of Nottingham,University of Leeds,Trinity College Dublin,University of Leeds,University of Nottingham,University of Leeds,Trinity College Dublin,University of Nottingham,University of Leeds,University of Leeds
01KCN29XD2JYB8DRMAX0C91SPX,University of Nottingham,University of Leeds,Trinity College Dublin,University of Leeds,University of Nottingham,Trinity College Dublin,Trinity College Dublin,University of Nottingham,Trinity College Dublin,University of Leeds
01KCN29XCE6792B1Q7RJYBMT3W,University of Nottingham,University of Leeds,Trinity College Dublin,University of Leeds,University of Nottingham,University of Leeds,Trinity College Dublin,University of Nottingham,University of Leeds,University of Leeds
01KCN29XD60N6A35NKWZJ654VH,University of Nottingham,University of Leeds,Trinity College Dublin,University of Leeds,Trinity College Dublin,Trinity College Dublin,Trinity College Dublin,University of Nottingham,Trinity College Dublin,University of Leeds
01KCN29XD51TX7X950S5S4ABAN,University of Nottingham,University of Leeds,University of Nottingham,University of Leeds,University of Nottingham,Trinity College Dublin,University of Glasgow,University of Nottingham,Trinity College Dublin,University of Leeds
01KCN29XD47CAF3P8V9RV6E84S,University of Nottingham,University of Leeds,University of Nottingham,University of Leeds,Trinity College Dublin,University of Glasgow,University of Glasgow,University of Nottingham,University of Leeds,University of Leeds
01KCN29XD8DWTRW82GDM95H6V2,University of Nottingham,University of Leeds,Trinity College Dublin,University of Leeds,University of Nottingham,University of Glasgow,University of Glasgow,University of Nottingham,University of Leeds,University of Leeds
01KCN29XCFEATS271QQ984VBSJ,University of Nottingham,University of Leeds,Trinity College Dublin,University of Leeds,University of Nottingham,University of Glasgow,University of Glasgow,University of Nottingham,University of Leeds,University of Leeds
01KCN29XD7S9VA43175666F7SW,,,,,,,,,,
