Round,Average Entropy
1,0.0
2,0.9
3,1.0931329173157072
4,1.3622556248918265
5,1.5244420352688182
6,1.6346366672435912
7,1.669845594837028
8,1.7778195311147833
9,1.8427923970398226
10,1.8814460711655219
11,1.9835113569236669
12,2.009365864680731
13,1.9768158882296014
14,1.9900129636689363
15,1.9970455501526552
16,1.9897864987160225
17,1.97411610335821
18,1.9521092873604702
19,1.9301539331607818
20,1.9221787504421122
21,1.9225480788945402
22,1.9482500373612577
23,1.9751663744036594
24,1.9758017761279736
25,1.9644818136968794
26,1.9739713572500697
27,1.9712801302880767
28,1.973821808109006
29,1.9843320800204
30,1.979075715211175
31,1.976336551158488
32,1.980457221140739
33,1.9969683675471745
34,2.0082886950363683
35,2.0226819103797453
36,2.030755425207427
37,2.0349564263304947
38,2.0355030725518
39,2.0225798737831835
40,2.0067002828921012
41,2.0074147515081187
42,1.991668456692916
43,1.9675977067280197
44,1.943473011199964
45,1.9200206821597732
46,1.8966852234359775
47,1.8940582763311062
48,1.876528266130796
49,1.8744109157634585
50,1.857224366917008
51,1.8397327451626364
