Round,Judgment,Pattern,Strategy,Choice,Reward,Last Choice,Last Reward,Best highest success,Best highest ratio,Best lowest failures,Success Count,Failure Count,Success Ratio
19,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,0.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 17}","{""Indigo"": 1}","{""Indigo"": 0.9444444444444444}"
20,Exploit,Lose-Stay,Exploit+Lose-Stay,Indigo,1.0,Indigo,0.0,Indigo,Indigo,Indigo,"{""Indigo"": 17}","{""Indigo"": 2}","{""Indigo"": 0.8947368421052632}"
21,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,0.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 18}","{""Indigo"": 2}","{""Indigo"": 0.9}"
22,Exploit,Lose-Stay,Exploit+Lose-Stay,Indigo,1.0,Indigo,0.0,Indigo,Indigo,Indigo,"{""Indigo"": 18}","{""Indigo"": 3}","{""Indigo"": 0.8571428571428571}"
23,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,0.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 19}","{""Indigo"": 3}","{""Indigo"": 0.8636363636363636}"
24,Exploit,Lose-Stay,Exploit+Lose-Stay,Indigo,1.0,Indigo,0.0,Indigo,Indigo,Indigo,"{""Indigo"": 19}","{""Indigo"": 4}","{""Indigo"": 0.8260869565217391}"
25,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 20}","{""Indigo"": 4}","{""Indigo"": 0.8333333333333334}"
26,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 21}","{""Indigo"": 4}","{""Indigo"": 0.84}"
27,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 22}","{""Indigo"": 4}","{""Indigo"": 0.8461538461538461}"
28,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 23}","{""Indigo"": 4}","{""Indigo"": 0.8518518518518519}"
29,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 24}","{""Indigo"": 4}","{""Indigo"": 0.8571428571428571}"
30,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 25}","{""Indigo"": 4}","{""Indigo"": 0.8620689655172413}"
31,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 26}","{""Indigo"": 4}","{""Indigo"": 0.8666666666666667}"
32,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 27}","{""Indigo"": 4}","{""Indigo"": 0.8709677419354839}"
33,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 28}","{""Indigo"": 4}","{""Indigo"": 0.875}"
34,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 29}","{""Indigo"": 4}","{""Indigo"": 0.8787878787878788}"
35,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 30}","{""Indigo"": 4}","{""Indigo"": 0.8823529411764706}"
36,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 31}","{""Indigo"": 4}","{""Indigo"": 0.8857142857142857}"
37,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 32}","{""Indigo"": 4}","{""Indigo"": 0.8888888888888888}"
38,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 33}","{""Indigo"": 4}","{""Indigo"": 0.8918918918918919}"
39,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 34}","{""Indigo"": 4}","{""Indigo"": 0.8947368421052632}"
40,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 35}","{""Indigo"": 4}","{""Indigo"": 0.8974358974358975}"
41,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 36}","{""Indigo"": 4}","{""Indigo"": 0.9}"
42,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 37}","{""Indigo"": 4}","{""Indigo"": 0.9024390243902439}"
43,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 38}","{""Indigo"": 4}","{""Indigo"": 0.9047619047619048}"
44,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,0.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 39}","{""Indigo"": 4}","{""Indigo"": 0.9069767441860465}"
45,Exploit,Lose-Stay,Exploit+Lose-Stay,Indigo,1.0,Indigo,0.0,Indigo,Indigo,Indigo,"{""Indigo"": 39}","{""Indigo"": 5}","{""Indigo"": 0.8863636363636364}"
46,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 40}","{""Indigo"": 5}","{""Indigo"": 0.8888888888888888}"
47,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 41}","{""Indigo"": 5}","{""Indigo"": 0.8913043478260869}"
48,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 42}","{""Indigo"": 5}","{""Indigo"": 0.8936170212765957}"
49,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 43}","{""Indigo"": 5}","{""Indigo"": 0.8958333333333334}"
50,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 44}","{""Indigo"": 5}","{""Indigo"": 0.8979591836734694}"
51,Exploit,Win-Stay,Exploit+Win-Stay,Indigo,1.0,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 45}","{""Indigo"": 5}","{""Indigo"": 0.9}"
52,N/A,N/A,N/A+N/A,,,Indigo,1.0,Indigo,Indigo,Indigo,"{""Indigo"": 46}","{""Indigo"": 5}","{""Indigo"": 0.9019607843137255}"
