Round,Average Entropy
1,0.0
2,0.1
3,0.19182958340544895
4,0.3352130207431888
5,0.38751074082558323
6,0.41644317668962944
7,0.44830938940477216
8,0.5150949349166022
9,0.617593978616656
10,0.6434207572795408
11,0.664629820391207
12,0.7002404278768468
13,0.7315327691772799
14,0.7451223386394605
15,0.7471234509192619
16,0.7723000856734195
17,0.7717715502292483
18,0.7789350945147412
19,0.7642001512644117
20,0.7505038274188628
21,0.7413961145945533
22,0.7328934768432557
23,0.7216884569171995
24,0.7144495348607108
25,0.7140171283201042
26,0.7150113928004703
27,0.7162823833861134
28,0.7168450243363544
29,0.7120363453633962
30,0.7088048377716596
31,0.7051158972150308
32,0.6983562300575289
33,0.7029399039177171
34,0.7038198057278965
35,0.7186546177059656
36,0.7308537262388752
37,0.7375703174619703
38,0.7398836827787868
39,0.7441877078037733
40,0.7473658763289134
41,0.7480652034774334
42,0.7564459520559256
43,0.7616449086410897
44,0.7628945046232478
45,0.7798900656093144
46,0.7963493943343213
47,0.8064410812115392
48,0.8130993530711615
49,0.8185130763408346
50,0.8219909411440239
51,0.8239805570904053
