Round,Average Entropy
1,0.0
2,0.8
3,1.2264662506490405
4,1.3622556248918265
5,1.6268303448440928
6,1.6918990186299243
7,1.7660141650635885
8,1.8503249578517054
9,1.8765208685915709
10,1.9509505944546686
11,2.007641228965219
12,1.9704203978836166
13,1.9573909390154314
14,1.9783138151336253
15,2.0281500026153703
16,2.0155671493595166
17,2.0000272342598504
18,1.980773113391902
19,1.956496494237782
20,1.9453830207805534
21,1.9397040881063041
22,1.9173105538152022
23,1.912361559305015
24,1.9016777016215098
25,1.8971095237384656
26,1.877322982172413
27,1.865180339016387
28,1.8574301668829385
29,1.8509238003525774
30,1.827407595630469
31,1.816388347348763
32,1.805062494940175
33,1.7894722234277762
34,1.788021945492688
35,1.7811082522170785
36,1.767852072773693
37,1.755762397871265
38,1.7404895368161646
39,1.7248827379457339
40,1.716375122648548
41,1.7102645002398202
42,1.7006818685156972
43,1.6921977076289874
44,1.6841843073238898
45,1.673286443950122
46,1.6599855243181083
47,1.6462599358711631
48,1.6320043609654902
49,1.622763942678996
50,1.6101324510086776
51,1.5962210485679063
