Round,Overall Entropy
1,3.3219280948873626
2,3.1037016960573487
3,3.077865082165957
4,3.091919107986415
5,3.072711364394161
6,3.056731165416503
7,3.032555875042581
8,3.033905429134733
9,3.049130755149424
10,3.0467291283154254
11,3.051210665902798
12,3.033528215635065
13,2.9923403322213837
14,2.9864583572180274
15,2.9961971882150413
16,2.98430082078481
17,2.9513190136862217
18,2.9180055477353544
19,2.914261889510477
20,2.8943404007444262
21,2.8914425283727
22,2.876927893786334
23,2.8646390829145285
24,2.848577931746714
25,2.8430617672443304
26,2.8322701595201143
27,2.823943166247186
28,2.819194543361715
29,2.8102070164533344
30,2.7931085020122466
31,2.7708391467938203
32,2.7479733670731252
33,2.7378179586427263
34,2.735116962470617
35,2.7334678287443777
36,2.71991713489662
37,2.71008924526579
38,2.6994390437016444
39,2.687785779768355
40,2.6709148902597657
41,2.6590647284646622
42,2.6535088993218325
43,2.637964997474588
44,2.6228715143027137
45,2.6083756077406623
46,2.5943886511445746
47,2.580877736635298
48,2.5677229761112685
49,2.554614636585863
50,2.5465310551219265
51,2.538839192950008
