id,batchID,batchIDLastChangedAt,decision,decisionLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,score,scoreLastChangedAt
01KCSGNMA2K76W46WNEGABPT6Z,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:58:25.602351518Z,University of Nottingham,2025-12-18T19:58:27.081599726Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:58:25.602351518Z,01KCSFR7QDNAS9EBKZKAH8HT9K,2025-12-18T19:58:25.602351518Z,01KCSG2GT5YFQ1YH30319NMRK9,2025-12-18T19:58:25.602351518Z,1,2025-12-18T19:58:27.085228625Z
01KCSGQCZY8C5FNJB8KEQWN1HQ,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:59:23.646321468Z,Trinity College Dublin,2025-12-18T19:59:26.67240708Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:59:23.646321468Z,01KCSFQ50W09TP10JVBSM7VCM7,2025-12-18T19:59:23.646321468Z,01KCSG2GT9YDQ17EFGWB7171K1,2025-12-18T19:59:23.646321468Z,1,2025-12-18T19:59:26.668695666Z
01KCSGRTR7M10G1HRA7JT3TE74,01KCSFHXATA74QAE1X905F314Q,2025-12-18T20:00:10.503822052Z,,,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T20:00:10.503822052Z,01KCSFQBSFQ1E59QCTW44CQJTQ,2025-12-18T20:00:10.503822052Z,01KCSG2GTF8DVK7FF0YEA480BG,2025-12-18T20:00:10.503822052Z,,
01KCSG6FYMK6R49Y9SAVMCB1QV,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:50:09.620851678Z,University of Glasgow,2025-12-18T19:50:13.231624783Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:50:09.620851678Z,01KCSFT4HH4KK21P57ZHZVGJ9N,2025-12-18T19:50:09.620851678Z,01KCSG2GT40GRJ225JSKNA5EVW,2025-12-18T19:50:09.620851678Z,1,2025-12-18T19:50:13.232954684Z
01KCSG6X1ZPPMD49NQ2ATCCRBP,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:50:23.03974457Z,University of Southampton,2025-12-18T19:50:27.284899055Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:50:23.03974457Z,01KCSFR7QDNAS9EBKZKAH8HT9K,2025-12-18T19:50:23.03974457Z,01KCSG2GSMT5ABSDWAMRSF3BV6,2025-12-18T19:50:23.03974457Z,1,2025-12-18T19:50:27.289406324Z
01KCSG6X2720PD5DA0MMT6NTNX,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:50:23.047275936Z,Trinity College Dublin,2025-12-18T19:50:28.831574549Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:50:23.047275936Z,01KCSG0TJ4H7DFDP5HGZ1RN2YY,2025-12-18T19:50:23.047275936Z,01KCSG2GSMT5ABSDWAMRSF3BV6,2025-12-18T19:50:23.047275936Z,1,2025-12-18T19:50:28.83228619Z
01KCSG8R5X4KZ7CH9J167SSPD1,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:51:23.581615558Z,University of Leeds,2025-12-18T19:51:29.692607495Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:51:23.581615558Z,01KCSFZ8B7YV42TPJY3NGD4BZB,2025-12-18T19:51:23.581615558Z,01KCSG2GTVF546E5YRN4PW65AZ,2025-12-18T19:51:23.581615558Z,1,2025-12-18T19:51:29.697577645Z
01KCSGCQZX72NCBC650XQ8CH7B,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:53:34.46146996Z,University of Leeds,2025-12-18T19:53:40.192835322Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:53:34.46146996Z,01KCSFM1YDV9TVAYM6Z6BSVTBT,2025-12-18T19:53:34.46146996Z,01KCSG2GTQ9EZ0064KYHEC63NM,2025-12-18T19:53:34.46146996Z,1,2025-12-18T19:53:40.194123032Z
01KCSGFF27TB57KK1JMWVJMTMN,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:55:03.623692238Z,University of Glasgow,2025-12-18T19:55:05.137061201Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:55:03.623692238Z,01KCSFT4HH4KK21P57ZHZVGJ9N,2025-12-18T19:55:03.623692238Z,01KCSG2GTEEPJ9QZW54ZSV1R77,2025-12-18T19:55:03.623692238Z,1,2025-12-18T19:55:05.130341122Z
01KCSGJRPH4Z2VYFVZ55MBJPDS,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:56:51.793608617Z,University of Leeds,2025-12-18T19:56:53.280751951Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:56:51.793608617Z,01KCSFZ8B7YV42TPJY3NGD4BZB,2025-12-18T19:56:51.793608617Z,01KCSG2GT7VCM5ANNESAW7AXEA,2025-12-18T19:56:51.793608617Z,1,2025-12-18T19:56:53.283745626Z
01KCSG4EAPBAMGST8P575DDG9Y,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:49:02.422794637Z,Karlsruhe Institute of Technology,2025-12-18T19:49:06.858833079Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:49:02.422794637Z,01KCSG0TJ4H7DFDP5HGZ1RN2YY,2025-12-18T19:49:02.422794637Z,01KCSG2GSW7C1CDDNHJV6GP44R,2025-12-18T19:49:02.422794637Z,0,2025-12-18T19:49:06.857791937Z
01KCSGD07W88MXS2N48FJ6SXKY,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:53:42.908910713Z,University of Glasgow,2025-12-18T19:53:46.196855804Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:53:42.908910713Z,01KCSFQ50W09TP10JVBSM7VCM7,2025-12-18T19:53:42.908910713Z,01KCSG2GTP6MRVEYSTEDHKYQHZ,2025-12-18T19:53:42.908910713Z,1,2025-12-18T19:53:46.199315212Z
01KCSGFF2BTWPE03TT0DDJN7MJ,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:55:03.62755165Z,University of Sheffield,2025-12-18T19:55:06.370730136Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:55:03.62755165Z,01KCSFSX1C0NDKHYDK91AH388B,2025-12-18T19:55:03.62755165Z,01KCSG2GTEEPJ9QZW54ZSV1R77,2025-12-18T19:55:03.62755165Z,1,2025-12-18T19:55:06.369113952Z
01KCSGM42ZZWDGHHTM0HNF5981,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:57:36.223681706Z,Trinity College Dublin,2025-12-18T19:57:43.213698889Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:57:36.223681706Z,01KCSFM1YDV9TVAYM6Z6BSVTBT,2025-12-18T19:57:36.223681706Z,01KCSG2GT5YFQ1YH302EFMK4MZ,2025-12-18T19:57:36.223681706Z,0,2025-12-18T19:57:43.215358016Z
01KCSGN8PBHY6Q1TYNGSD59PFA,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:58:13.707429385Z,University of Glasgow,2025-12-18T19:58:15.767392649Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:58:13.707429385Z,01KCSFPV932HCDRDQC3HVXA9SG,2025-12-18T19:58:13.707429385Z,01KCSG2GT6X6A1RKR22STHCM7K,2025-12-18T19:58:13.707429385Z,1,2025-12-18T19:58:15.771528894Z
01KCSGPPCERRV7KDD7NA4A57YN,01KCSFHXATA74QAE1X905F314Q,2025-12-18T19:59:00.494713809Z,University of Leeds,2025-12-18T19:59:09.295953355Z,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T19:59:00.494713809Z,01KCSFQBSFQ1E59QCTW44CQJTQ,2025-12-18T19:59:00.494713809Z,01KCSG2GTAS9SX2M0E0HGSAKAD,2025-12-18T19:59:00.494713809Z,1,2025-12-18T19:59:09.301377892Z
01KCSGRTR020QTS0RPWHTYD5TE,01KCSFHXATA74QAE1X905F314Q,2025-12-18T20:00:10.49634571Z,,,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T20:00:10.49634571Z,01KCSFQ50W09TP10JVBSM7VCM7,2025-12-18T20:00:10.49634571Z,01KCSG2GTF8DVK7FF0YEA480BG,2025-12-18T20:00:10.49634571Z,,
01KCSGRTRE1NFKSTB5J7KGGNGV,01KCSFHXATA74QAE1X905F314Q,2025-12-18T20:00:10.510092068Z,,,01KCSFHXBM66C5TQP7FFW2GN50,2025-12-18T20:00:10.510092068Z,01KCSG0TJ4H7DFDP5HGZ1RN2YY,2025-12-18T20:00:10.510092068Z,01KCSG2GTF8DVK7FF0YEA480BG,2025-12-18T20:00:10.510092068Z,,
