id,batchID,batchIDLastChangedAt,decision,decisionLastChangedAt,gameID,gameIDLastChangedAt,playerID,playerIDLastChangedAt,roundID,roundIDLastChangedAt,score,scoreLastChangedAt
01JW02QRNASS214WGTHA8TXJNR,01JW026C2WCFCXPTJ83VRMM8VT,2025-05-24T02:42:45.546210923Z,Orange,2025-05-24T02:42:48.18876007Z,01JW026C3GSZP4VDP6YGE4RGBP,2025-05-24T02:42:45.546210923Z,01JW02F1VKT7EQCPX26MEPC9DD,2025-05-24T02:42:45.546210923Z,01JW02H08QBQPYKE549828Y0PG,2025-05-24T02:42:45.546210923Z,1,2025-05-24T02:42:48.193425899Z
01JW02RZ3Z2PXQQFY83PVYFZQ9,01JW026C2WCFCXPTJ83VRMM8VT,2025-05-24T02:43:24.927673748Z,Pink,2025-05-24T02:43:29.551163749Z,01JW026C3GSZP4VDP6YGE4RGBP,2025-05-24T02:43:24.927673748Z,01JW02EXRGJQM0FXNS9EDRYG7D,2025-05-24T02:43:24.927673748Z,01JW02H08QBQPYKE548R3DBEMN,2025-05-24T02:43:24.927673748Z,1,2025-05-24T02:43:29.553667207Z
01JW02SDYJ3Z00FFZENK8113N6,01JW026C2WCFCXPTJ83VRMM8VT,2025-05-24T02:43:40.114399649Z,Black,2025-05-24T02:44:04.645671535Z,01JW026C3GSZP4VDP6YGE4RGBP,2025-05-24T02:43:40.114399649Z,01JW02GDYMGABBSDF0GJ7V1ZWB,2025-05-24T02:43:40.114399649Z,01JW02H08TX6W0KF8PXJ2SP20B,2025-05-24T02:43:40.114399649Z,1,2025-05-24T02:44:04.652603945Z
01JW02XQCVA6T3NANMC11SP487,01JW026C2WCFCXPTJ83VRMM8VT,2025-05-24T02:46:00.859195362Z,Black,2025-05-24T02:46:02.147375696Z,01JW026C3GSZP4VDP6YGE4RGBP,2025-05-24T02:46:00.859195362Z,01JW02GDYMGABBSDF0GJ7V1ZWB,2025-05-24T02:46:00.859195362Z,01JW02H099EYTM43XRR7TB92YC,2025-05-24T02:46:00.859195362Z,1,2025-05-24T02:46:02.148904955Z
01JW02YNND3N0W2GHXBC9C4K52,01JW026C2WCFCXPTJ83VRMM8VT,2025-05-24T02:46:31.853799086Z,Crimson,2025-05-24T02:46:38.673726196Z,01JW026C3GSZP4VDP6YGE4RGBP,2025-05-24T02:46:31.853799086Z,01JW028WRQC1M51MDV0NPAZCJ4,2025-05-24T02:46:31.853799086Z,01JW02H09AWKQQD4YSFVD1EW79,2025-05-24T02:46:31.853799086Z,1,2025-05-24T02:46:38.672027372Z
01JW02TYRZDFS06QRVS9RPF9Y8,01JW026C2WCFCXPTJ83VRMM8VT,2025-05-24T02:44:30.111148056Z,Black,2025-05-24T02:44:31.697365622Z,01JW026C3GSZP4VDP6YGE4RGBP,2025-05-24T02:44:30.111148056Z,01JW02GDYMGABBSDF0GJ7V1ZWB,2025-05-24T02:44:30.111148056Z,01JW02H08VHYRS1EHG38H8QGQZ,2025-05-24T02:44:30.111148056Z,1,2025-05-24T02:44:31.698837955Z
01JW02X8TQSYTAS13HMED4J3VQ,01JW026C2WCFCXPTJ83VRMM8VT,2025-05-24T02:45:45.943712738Z,Pink,2025-05-24T02:45:47.215119397Z,01JW026C3GSZP4VDP6YGE4RGBP,2025-05-24T02:45:45.943712738Z,01JW02BV9KYNWQQCEWZNXPVFHT,2025-05-24T02:45:45.943712738Z,01JW02H09601XAWZEAFCCRB731,2025-05-24T02:45:45.943712738Z,1,2025-05-24T02:45:47.212037295Z
01JW02YZFADYR9SE31Q7J2BM6G,01JW026C2WCFCXPTJ83VRMM8VT,2025-05-24T02:46:41.89817036Z,Black,2025-05-24T02:46:42.996869003Z,01JW026C3GSZP4VDP6YGE4RGBP,2025-05-24T02:46:41.89817036Z,01JW02GDYMGABBSDF0GJ7V1ZWB,2025-05-24T02:46:41.89817036Z,01JW02H09BV38WDW9NS3PNMYQG,2025-05-24T02:46:41.89817036Z,1,2025-05-24T02:46:42.992996869Z
01JW02ZV2WC8580512BQY082B7,01JW026C2WCFCXPTJ83VRMM8VT,2025-05-24T02:47:10.172072527Z,Pink,2025-05-24T02:47:10.988852315Z,01JW026C3GSZP4VDP6YGE4RGBP,2025-05-24T02:47:10.172072527Z,01JW029XNR37MHA24H9XBWVRSY,2025-05-24T02:47:10.172072527Z,01JW02H09CCM270QY2WKFWSMP8,2025-05-24T02:47:10.172072527Z,1,2025-05-24T02:47:10.992834559Z
01JW02P146TEA7XJNXSX7S2GA9,01JW026C2WCFCXPTJ83VRMM8VT,2025-05-24T02:41:48.678701099Z,Purple,2025-05-24T02:41:52.519218962Z,01JW026C3GSZP4VDP6YGE4RGBP,2025-05-24T02:41:48.678701099Z,01JW02B3PVYX3A6PMZACQH9VSY,2025-05-24T02:41:48.678701099Z,01JW02H08MXAB3MCMYDTT0NATK,2025-05-24T02:41:48.678701099Z,1,2025-05-24T02:41:52.520765957Z
