Round,Average Entropy
1,0.0
2,0.2
3,0.45914791702724483
4,0.5311278124459132
5,0.6278636068026092
6,0.7656539091199646
7,0.8238582252698838
8,0.8383037878806562
9,0.8999460067833425
10,0.9550214816511664
11,1.0299060759369356
12,1.0733764273394297
13,1.0886300014156407
14,1.1360271901186152
15,1.1644172889232756
16,1.1784049820964442
17,1.18099397559866
18,1.19347739909559
19,1.1929460476980147
20,1.1908607133460047
21,1.1976010545174653
22,1.2318589151280468
23,1.246108688792052
24,1.2587723863543476
25,1.266710354194367
26,1.2717166423015507
27,1.2790118132871295
28,1.268351591791874
29,1.265696244203428
30,1.2628887895844705
31,1.2666023145379117
32,1.2572479485005321
33,1.2524839353471855
34,1.2499543122042973
35,1.2470301024332007
36,1.2506278318541901
37,1.244138513089345
38,1.2526328446858686
39,1.2696435942864353
40,1.2945269220684383
41,1.3042434924925277
42,1.3128851605192975
43,1.3247035604291295
44,1.3354105123457518
45,1.3456675229355377
46,1.351049439259362
47,1.367257609037516
48,1.3727211890921565
49,1.3783870688817226
50,1.3892732516299844
51,1.387959567760292
