id,Sky Blue,Slate,Purple,Indigo,Amber,Crimson,Pink,Black,Bright Green,Orange,entropy
01JW02F1VKT7EQCPX26MEPC9DD,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,34.0,33.0,1.5848187049730298
01JW028WRQC1M51MDV0NPAZCJ4,2.0,2.0,2.0,2.0,2.0,85.0,1.0,1.0,2.0,2.0,1.1255557444180855
01JW02AFEYAGBGPNN4MPBZP5PG,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08013604733127526
01JW02B3PVYX3A6PMZACQH9VSY,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01JW02CYH68KMXV7721AS33GXZ,0.0,10.0,0.0,0.0,0.0,60.0,10.0,5.0,0.0,15.0,1.7332062193464952
01JW02EXRGJQM0FXNS9EDRYG7D,0.0,0.0,50.0,0.0,5.0,0.0,5.0,0.0,30.0,10.0,1.7854752972273344
01JW029XNR37MHA24H9XBWVRSY,13.0,0.0,13.0,0.0,13.0,0.0,16.0,16.0,13.0,16.0,2.7996275363413567
01JW02A8M61H4244YENRK5H5S5,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
01JW02BV9KYNWQQCEWZNXPVFHT,0.0,0.0,0.0,6.0,0.0,0.0,94.0,0.0,0.0,0.0,0.32744491915447627
01JW02GDYMGABBSDF0GJ7V1ZWB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
average,1.6,1.2,26.5,0.8,15.3,14.5,12.6,12.2,7.9,7.6,0.9436264468792054
