Round,Overall Entropy
1,3.3219280948873626
2,3.2810361125534233
3,3.2264741182543752
4,2.9983500540919006
5,2.76654140665565
6,2.5797826371676433
7,2.4446226033361453
8,2.3083780338023474
9,2.1837448578019587
10,2.088803516601343
11,1.9973416845377403
12,1.9476612821291859
13,1.8865943365624878
14,1.8232511506083062
15,1.7891655354313365
16,1.7282739470429247
17,1.6728594378902955
18,1.6315004662991592
19,1.5938457166408861
20,1.5594099246906197
21,1.5277893243097227
22,1.4907726600160487
23,1.4563470761055795
24,1.4242524142981343
25,1.3942610990644562
26,1.382792463130515
27,1.3700923202173116
28,1.3600577555571416
29,1.3463471308046266
30,1.3325827567496582
31,1.3101256970252002
32,1.2888721182807568
33,1.2756526175231306
34,1.2496035676826875
35,1.2338748052109862
36,1.2268244155987398
37,1.223844171245346
38,1.214276406240081
39,1.2047828861907706
40,1.189713054225098
41,1.180895735264935
42,1.1783330393611442
43,1.1757184522966384
44,1.1671630853541388
45,1.1587533569932096
46,1.1504957816882941
47,1.1423945488377767
48,1.1344520402140204
49,1.1266692291535039
50,1.1190459912378334
51,1.1087707792192327
