Round,Overall Entropy
1,3.321928094887362
2,3.321928094887362
3,3.2892464285091583
4,3.2823328717505147
5,3.263661571960835
6,3.259477782689512
7,3.2460037318145583
8,3.2461076329623944
9,3.2400691397794135
10,3.234095469422238
11,3.2312664202995762
12,3.227875113803367
13,3.2242817919535516
14,3.22318834047429
15,3.220892218450682
16,3.21936577995325
17,3.218423433503246
18,3.2170606009953753
19,3.2169976448332935
20,3.215703357944103
21,3.214504246375375
22,3.2128538546523804
23,3.2262161823260915
24,3.224256127206677
25,3.2230829827110443
26,3.2208124769397357
27,3.219525174841123
28,3.217325207633494
29,3.2153355541459034
30,3.213706525660731
31,3.2115054888755963
32,3.209958527396106
33,3.21791845387638
34,3.2162876993656537
35,3.21386682961243
36,3.211252225619861
37,3.2094024700919364
38,3.2072095020818825
39,3.204544324081431
40,3.202447786989718
41,3.1993570443352954
42,3.206832657201212
43,3.2067520332952286
44,3.2129664027578397
45,3.2111216672986056
46,3.209908500418866
47,3.214253288240734
48,3.2140116647612693
49,3.217626223444812
50,3.2163114812829967
51,3.2151930257867174
