university,count,percent_of_familiar
University of Glasgow,145,61.7
University of Leeds,128,54.47
Trinity College Dublin,124,52.77
University of Nottingham,91,38.72
University of Southampton,73,31.06
Heidelberg University,70,29.79
University of Adelaide,56,23.83
University of Sheffield,53,22.55
The University of Western Australia,40,17.02
Karlsruhe Institute of Technology,24,10.21
